,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,South,West,North-East,North,East
2019-04-23,3.8444444444444446,254.28472222222223,2.116666666666667,25.074305555555558,11.788194444444452,68.72222222222223,11.93333333333334,11.638888888888888,,,,3.014583333333335,2.342361111111112,1182.9583333333333,0.0,0,0,1,0,0,0,0,0
2019-04-24,4.279861111111111,94.11805555555556,2.5020833333333337,16.819444444444436,16.40833333333333,36.43055555555556,16.549305555555552,16.268055555555556,,,,3.379861111111111,2.695138888888889,1183.263888888889,0.0,1,0,0,0,0,0,0,0
2019-04-25,4.149305555555556,132.93055555555554,2.349999999999999,17.55069444444445,19.54722222222223,28.28472222222222,19.66805555555556,19.422916666666673,,,,3.2465277777777772,2.5381944444444446,1182.861111111111,0.0,1,0,0,0,0,0,0,0
2019-04-26,4.671527777777776,101.61111111111111,2.519444444444445,19.87638888888888,20.27986111111112,29.243055555555557,20.42222222222222,20.13333333333334,,,,3.5798611111111103,2.7590277777777783,1164.5208333333333,0.0,1,0,0,0,0,0,0,0
2019-04-27,4.922916666666665,187.3125,2.738888888888889,19.775694444444433,20.7986111111111,26.51388888888889,20.93888888888888,20.661111111111115,,,,3.842361111111111,2.95,1181.7847222222222,0.0,0,0,1,0,0,0,0,0
2019-04-28,4.186805555555558,281.18055555555554,2.384027777777778,22.145138888888894,20.987500000000008,30.104166666666668,21.154166666666665,20.830555555555563,,,,3.3319444444444457,2.597916666666666,1165.3958333333333,0.0,0,1,0,0,0,0,0,0
2019-04-29,3.6624999999999983,217.54861111111111,2.0243055555555554,21.743750000000002,23.724999999999987,22.375,23.886111111111102,23.571527777777778,,,,2.899305555555555,2.2499999999999996,1182.638888888889,0.0,0,0,1,0,0,0,0,0
2019-04-30,4.928472222222221,251.73611111111111,2.8090277777777763,19.387499999999996,22.83958333333333,23.958333333333332,22.989583333333332,22.686805555555555,,,,3.836805555555557,3.0402777777777774,1182.9166666666667,0.0,0,0,1,0,0,0,0,0
2019-05-01,2.895104895104894,147.73426573426573,1.5370629370629367,20.355244755244755,25.08671328671329,17.804195804195803,25.24335664335663,24.939860139860137,,,,2.2419580419580427,1.72937062937063,1162.902097902098,0.0,1,0,0,0,0,0,0,0
2019-05-02,5.655555555555558,278.3333333333333,2.9874999999999985,20.636111111111124,24.84097222222221,26.59027777777778,24.977777777777778,24.69791666666667,,,,4.265277777777779,3.2979166666666657,1165.3472222222222,0.0,0,1,0,0,0,0,0,0
