,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,East,West,South
2019-05-17,5.088194444444445,239.10416666666666,3.581944444444444,19.637500000000003,22.001388888888904,74.68055555555556,22.22430555555556,21.79027777777779,,,,4.571527777777778,3.881249999999999,1181.361111111111,0.0,0,0,0,1,0,0,0,0
2019-05-18,5.147916666666668,126.14583333333333,4.125694444444445,8.136805555555556,21.12291666666667,76.52777777777777,21.30694444444443,20.961111111111116,,,,4.622916666666666,4.281249999999998,1183.013888888889,0.0,0,1,0,0,0,0,0,0
2019-05-19,5.895833333333332,193.6875,4.856944444444445,7.775694444444444,20.716666666666683,81.09027777777777,20.89722222222221,20.5638888888889,,,,5.419444444444444,5.009027777777776,1165.5277777777778,0.0,0,0,0,1,0,0,0,0
2019-05-20,5.365972222222223,180.21527777777777,4.479861111111111,7.482638888888882,20.681944444444458,86.49305555555556,20.838888888888903,20.553472222222226,,,,4.9916666666666645,4.645833333333332,1182.8333333333333,0.0,0,1,0,0,0,0,0,0
2019-05-21,5.162499999999998,132.74305555555554,4.242361111111111,6.527083333333331,21.15208333333334,90.4375,21.257638888888884,21.044444444444462,,,,4.761805555555556,4.436111111111114,1182.5694444444443,0.0,0,1,0,0,0,0,0,0
2019-05-22,3.4645833333333353,132.28472222222223,2.8222222222222233,7.730555555555556,22.17569444444445,81.38888888888889,22.32777777777778,22.01458333333333,,,,3.175694444444444,2.9993055555555546,1182.5,0.0,0,1,0,0,0,0,0,0
2019-05-23,4.744444444444443,119.73611111111111,3.517361111111111,12.059027777777779,28.600694444444443,41.52777777777778,29.04097222222221,28.205555555555563,,,,4.2041666666666675,3.803472222222221,1165.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-05-24,4.440972222222223,225.52777777777777,3.0527777777777767,16.986111111111114,27.68472222222222,53.96527777777778,28.09097222222222,27.281249999999996,,,,3.8687499999999986,3.365972222222224,1183.9930555555557,0.0,0,0,0,1,0,0,0,0
2019-05-25,5.468055555555555,235.95833333333334,4.571527777777779,7.525000000000006,22.834027777777784,85.01388888888889,22.972916666666666,22.720138888888897,,,,5.045138888888887,4.703472222222225,1165.0902777777778,0.0,0,0,0,1,0,0,0,0
2019-05-26,6.3979166666666645,132.3125,5.263194444444442,7.6416666666666675,21.861805555555563,78.84722222222223,22.03611111111112,21.710416666666667,,,,5.913194444444444,5.444444444444444,1183.263888888889,0.0,0,1,0,0,0,0,0,0
2019-05-27,5.578472222222219,164.68055555555554,4.638194444444446,6.603472222222222,21.434027777777803,82.55555555555556,21.570833333333344,21.318055555555556,,,,5.165972222222223,4.77916666666667,1183.0625,0.0,0,1,0,0,0,0,0,0
2019-05-28,4.695138888888889,218.71527777777777,3.7777777777777786,7.290277777777776,22.695138888888906,82.14583333333333,22.809027777777793,22.588194444444447,,,,4.3381944444444445,3.9708333333333323,1181.236111111111,0.0,0,0,0,1,0,0,0,0
2019-05-29,4.15972222222222,205.8125,3.2750000000000004,8.288888888888884,22.52083333333334,91.19444444444444,22.61180555555554,22.4326388888889,,,,3.747222222222221,3.435416666666667,1182.7777777777778,0.0,0,0,0,1,0,0,0,0
2019-05-30,3.915277777777779,215.04861111111111,3.0888888888888895,7.247222222222224,23.73472222222222,87.625,23.84999999999998,23.634722222222212,,,,3.5208333333333326,3.2340277777777797,1182.3819444444443,0.0,0,0,0,1,0,0,0,0
2019-05-31,4.084027777777777,260.84027777777777,3.1875000000000004,8.603472222222221,24.21458333333335,88.16666666666667,24.340972222222224,24.10208333333333,,,,3.688888888888891,3.3506944444444446,1183.1944444444443,0.0,0,0,0,1,0,0,0,0
2019-06-01,4.486805555555555,256.47222222222223,3.5388888888888874,9.291666666666664,23.826388888888882,88.57638888888889,23.965972222222213,23.695833333333333,,,,4.058333333333333,3.715972222222224,1181.2569444444443,0.0,0,0,0,1,0,0,0,0
2019-06-02,4.409154929577462,206.72535211267606,3.3669014084507047,10.135211267605634,23.826056338028167,87.90140845070422,23.966901408450685,23.702112676056345,,,,3.9288732394366197,3.532394366197183,1163.4507042253522,0.0,0,0,0,1,0,0,0,0
2019-06-03,5.781944444444443,175.79166666666666,4.7451388888888895,7.296527777777779,24.2576388888889,86.38194444444444,24.40694444444446,24.130555555555546,,,,5.306249999999999,4.9055555555555586,1166.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-06-04,5.71111111111111,184.03472222222223,4.630555555555553,6.950694444444443,24.647222222222226,84.15972222222223,24.786805555555567,24.535416666666656,,,,5.22638888888889,4.840972222222224,1182.4791666666667,0.0,0,1,0,0,0,0,0,0
2019-06-05,6.425694444444446,188.42361111111111,5.218750000000001,7.895833333333335,25.506944444444436,82.6875,25.63819444444444,25.38055555555556,,,,5.886805555555556,5.447916666666665,1182.298611111111,0.0,0,0,0,1,0,0,0,0
2019-06-06,6.520138888888888,212.21527777777777,5.376388888888891,8.053472222222226,25.176388888888884,84.27083333333333,25.273611111111137,25.07916666666666,,,,6.034027777777777,5.5937500000000036,1181.6944444444443,0.0,0,0,0,1,0,0,0,0
2019-06-07,7.274999999999998,296.4166666666667,6.214583333333334,5.565972222222224,24.497916666666654,82.80555555555556,24.625694444444445,24.39444444444445,,,,6.810416666666667,6.392361111111114,1181.5902777777778,0.0,0,0,1,0,0,0,0,0
2019-06-08,4.718055555555557,313.8125,3.804861111111111,8.009722222222218,23.47083333333334,80.11805555555556,23.60138888888889,23.355555555555547,,,,4.3479166666666655,3.949999999999998,1182.048611111111,0.0,0,0,1,0,0,0,0,0
