,Grad_4,Grad_3,Grad_2,Grad,Grad_1,TDmax_4,TD_4,TDmin_4,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TD_1,TDmin_1,TDmax,TD,TDmin
2018-03-27,210.57638888888889,135.125,218.8333333333333,277.40972222222223,275.34027777777777,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665,20.291474062920308,20.12335203309761,19.960080866609665
2018-01-29,31.368055555555557,31.215277777777786,107.1888111888112,99.01388888888887,95.27777777777777,10.726388888888888,10.60902777777778,10.497222222222225,7.411111111111111,7.308333333333337,7.225000000000002,10.022222222222222,9.832638888888882,9.629166666666665,11.419444444444439,11.237500000000004,11.080555555555556,11.679166666666667,11.523611111111107,11.37638888888889
2019-05-02,323.3333333333333,299.15972222222223,262.3888888888889,187.2083333333333,298.0833333333333,21.134722222222226,20.92361111111111,20.706944444444442,22.96805555555556,22.709722222222233,22.43611111111111,21.19861111111111,20.94583333333334,20.693749999999994,22.509722222222226,22.20902777777779,21.925694444444453,25.761805555555558,25.405555555555548,25.05694444444444
2017-03-15,161.77777777777774,116.36111111111113,156.83333333333334,148.33333333333334,186.60416666666663,15.18263888888889,15.006944444444445,14.85208333333333,15.941666666666661,15.763888888888884,15.599999999999998,14.45625,14.290972222222226,14.116666666666653,13.69652777777778,13.54722222222222,13.398611111111107,12.379861111111113,12.229166666666664,12.080555555555556
2016-02-26,115.04861111111113,104.86805555555556,203.83703703703705,214.35416666666663,200.9930555555556,13.154861111111105,13.010416666666664,12.876388888888883,13.681944444444447,13.554166666666667,13.424305555555556,14.572916666666664,14.400694444444447,14.229861111111108,16.868055555555557,16.665277777777778,16.462500000000002,18.236111111111114,18.006944444444436,17.761111111111106
2017-11-11,172.43055555555554,125.20138888888887,112.95138888888887,128.74825174825176,168.86805555555554,18.91805555555555,18.76319444444444,18.611805555555545,20.107638888888896,19.999305555555566,19.888194444444466,19.13125000000001,18.997222222222213,18.890277777777786,18.077777777777765,17.90694444444445,17.748611111111114,17.956944444444442,17.768750000000008,17.613888888888887
2018-10-27,149.61111111111111,180.79166666666663,107.70370370370372,204.25694444444446,161.82638888888889,26.89652777777779,26.71388888888889,26.522222222222233,25.80625000000001,25.584722222222208,25.37291666666667,22.73555555555557,22.571111111111122,22.398518518518504,19.270833333333325,19.131944444444443,19.004166666666666,18.948611111111106,18.74444444444445,18.54513888888889
2017-08-11,314.0486111111111,237.9090909090909,311.0625,307.5416666666667,286.9583333333333,26.817361111111087,26.63472222222221,26.466666666666665,26.843750000000004,26.686805555555548,26.534722222222207,26.727777777777767,26.55486111111113,26.383333333333344,26.566666666666674,26.391666666666666,26.223611111111122,26.434027777777768,26.261111111111113,26.10416666666667
2019-06-15,344.57246376811594,314.1458333333333,312.2916666666667,328.375,344.45833333333326,25.865277777777766,25.602777777777767,25.34791666666667,23.91875,23.74861111111111,23.576388888888893,23.20902777777779,23.040277777777767,22.87708333333334,23.37777777777779,23.20902777777778,23.03402777777779,23.272916666666656,23.095833333333346,22.940972222222214
2017-04-07,250.50694444444446,289.09722222222223,284.3055555555556,208.54166666666663,290.59722222222223,15.386111111111116,15.233333333333327,15.08333333333333,17.854166666666668,17.662500000000012,17.46319444444444,23.050000000000008,22.88958333333333,22.73958333333332,19.522916666666656,19.253472222222236,18.976388888888877,15.968750000000005,15.81736111111111,15.676388888888892
2017-09-11,292.0138888888889,282.9583333333333,270.0555555555556,284.2411347517732,277.1041666666667,25.496527777777768,25.303472222222208,25.110416666666666,25.727777777777767,25.59097222222222,25.45486111111111,26.46875000000001,26.33541666666667,26.21875000000001,25.95208333333333,25.790972222222226,25.637499999999992,26.06875000000001,25.88958333333333,25.706944444444442
2017-08-06,343.02777777777777,315.75,331.83802816901414,309.9930555555556,323.40277777777777,27.20877192982457,27.041228070175446,26.85526315789475,26.294444444444466,26.11666666666667,25.95277777777777,25.85069444444445,25.68541666666668,25.51666666666668,25.45138888888888,25.26458333333333,25.08541666666667,26.168055555555547,25.9840277777778,25.80277777777779
