,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-03-13,4.49097222222222,234.80555555555554,2.826388888888889,16.392361111111107,20.717361111111117,33.52777777777778,20.986111111111107,20.466666666666665,,,,3.8194444444444446,3.196527777777778,1181.513888888889,0.0,0,0,1,0,0,0,0,0
2019-03-14,6.243750000000003,227.13194444444446,4.102777777777778,11.312499999999998,16.945138888888888,42.13194444444444,17.115277777777784,16.798611111111118,,,,5.331249999999996,4.432638888888891,1181.7847222222222,0.0,0,0,1,0,0,0,0,0
2019-03-15,4.956944444444443,242.23611111111111,3.3020833333333326,12.323611111111115,17.99930555555555,46.076388888888886,18.19930555555557,17.811805555555566,,,,4.256250000000002,3.5874999999999986,1180.9444444444443,0.0,0,0,1,0,0,0,0,0
2019-03-16,7.050000000000002,237.54166666666666,4.947916666666666,9.869444444444445,16.14722222222222,43.041666666666664,16.36388888888889,15.95347222222222,,,,6.055555555555553,5.30416666666667,1165.625,0.0020833333333333337,0,0,1,0,0,0,0,0
2019-03-17,5.280555555555552,228.06944444444446,3.586805555555557,12.068055555555553,15.48472222222222,53.75694444444444,15.68680555555555,15.29027777777778,,,,4.538194444444446,3.846527777777776,1181.951388888889,0.0,0,0,1,0,0,0,0,0
2019-03-18,3.5701388888888896,122.0,2.3611111111111116,11.77430555555555,15.481944444444448,50.791666666666664,15.713888888888883,15.257638888888875,,,,3.039583333333333,2.5430555555555547,1182.1041666666667,0.0,0,1,0,0,0,0,0,0
2019-03-19,3.9472222222222237,129.44444444444446,2.6972222222222233,10.610416666666659,16.880555555555556,50.4375,17.11597222222222,16.659027777777762,,,,3.406944444444445,2.897222222222222,1181.5625,0.0,0,1,0,0,0,0,0,0
2019-03-20,3.430555555555554,117.32638888888889,2.2055555555555553,11.983333333333333,17.78680555555556,50.77777777777778,17.997916666666654,17.59097222222222,,,,2.960416666666668,2.4013888888888886,1181.3402777777778,0.0,0,1,0,0,0,0,0,0
2019-03-21,3.597916666666666,145.84027777777777,2.192361111111111,14.197916666666664,18.47708333333333,58.201388888888886,18.687499999999996,18.274305555555557,,,,3.0500000000000007,2.434722222222221,1165.2777777777778,0.0,0,1,0,0,0,0,0,0
2019-03-22,2.908333333333331,112.60416666666667,1.7604166666666652,13.66666666666667,17.66041666666667,52.763888888888886,17.882638888888884,17.44930555555555,,,,2.47986111111111,1.9881944444444437,1183.326388888889,0.0,0,1,0,0,0,0,0,0
2019-03-23,2.735416666666666,133.79861111111111,1.8284722222222223,12.377083333333335,17.121527777777775,60.625,17.27152777777779,16.96527777777778,,,,2.4062500000000004,2.0284722222222227,1167.0416666666667,0.0006944444444444445,0,1,0,0,0,0,0,0
2019-03-24,4.74513888888889,182.52777777777777,3.113888888888887,13.904861111111105,17.96597222222222,56.59027777777778,18.138194444444448,17.800694444444442,,,,4.030555555555555,3.393749999999999,1182.451388888889,0.0,0,1,0,0,0,0,0,0
2019-03-25,5.844444444444445,236.64583333333334,4.057638888888892,10.338888888888892,13.949999999999998,64.34722222222223,14.17708333333334,13.732638888888891,,,,5.048611111111112,4.410416666666669,1166.6458333333333,0.018750000000000003,0,0,1,0,0,0,0,0
2019-03-26,4.764539007092197,230.89361702127658,3.08936170212766,11.469503546099286,15.3645390070922,52.9290780141844,15.582978723404258,15.13617021276596,,,,4.087943262411346,3.402127659574468,1182.886524822695,0.0,0,0,1,0,0,0,0,0
2019-03-27,4.808333333333332,225.08333333333334,3.1875000000000018,12.731249999999998,17.730555555555547,41.673611111111114,18.002777777777787,17.460416666666667,,,,4.1409722222222225,3.4930555555555562,1183.2569444444443,0.0,0,0,1,0,0,0,0,0
2019-03-28,2.3756944444444454,187.19444444444446,1.4243055555555555,22.289583333333336,17.70486111111111,43.791666666666664,17.952083333333334,17.47083333333334,,,,2.0465277777777797,1.640277777777778,1165.638888888889,0.0,0,1,0,0,0,0,0,0
2019-03-29,3.291666666666666,111.34722222222223,2.044444444444444,14.93888888888889,19.18819444444445,42.53472222222222,19.363888888888894,19.016666666666662,,,,2.80625,2.276388888888889,1182.6041666666667,0.0,0,1,0,0,0,0,0,0
2019-03-30,9.754166666666665,234.40277777777777,6.678472222222221,12.77569444444444,20.015277777777786,36.96527777777778,20.22361111111111,19.795138888888882,,,,8.264583333333329,7.102777777777777,1182.8680555555557,0.0,0,0,1,0,0,0,0,0
2019-03-31,7.493750000000002,247.625,5.127777777777779,9.764583333333334,16.279166666666683,42.701388888888886,16.45208333333333,16.1236111111111,,,,6.415277777777777,5.504861111111111,1182.236111111111,0.0,0,0,1,0,0,0,0,0
2019-04-01,7.7222222222222205,222.55555555555554,5.361111111111111,9.962499999999999,16.73888888888889,36.19444444444444,16.955555555555552,16.54305555555557,,,,6.654166666666665,5.684027777777777,1182.3402777777778,0.0,0,0,1,0,0,0,0,0
2019-04-02,5.004166666666666,205.30555555555554,3.127777777777778,13.040277777777781,17.912499999999998,41.798611111111114,18.171527777777786,17.66736111111112,,,,4.156944444444444,3.4805555555555547,1181.9166666666667,0.0,0,0,1,0,0,0,0,0
2019-04-03,3.5541666666666654,123.69444444444444,2.2625,16.157638888888886,18.33611111111111,46.708333333333336,18.545138888888896,18.134722222222212,,,,3.0451388888888884,2.557638888888889,1165.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-04-04,4.527083333333333,127.35416666666667,2.9284722222222226,16.69097222222222,19.968750000000007,53.68055555555556,20.170833333333327,19.78055555555555,,,,3.8562500000000006,3.2097222222222235,1166.201388888889,0.0020833333333333337,0,1,0,0,0,0,0,0
2019-04-05,3.240972222222224,107.70833333333333,1.9319444444444436,17.69375000000001,18.6625,52.5,18.86805555555556,18.462500000000006,,,,2.7319444444444443,2.2048611111111103,1166.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-04-06,2.82638888888889,131.49305555555554,1.7736111111111106,14.942361111111106,18.90555555555556,53.94444444444444,19.100694444444457,18.72500000000001,,,,2.4305555555555554,1.9541666666666677,1182.2222222222222,0.0,0,1,0,0,0,0,0,0
2019-04-07,5.352777777777776,228.92361111111111,3.3895833333333347,14.290972222222214,24.40763888888889,37.173611111111114,24.68611111111112,24.138194444444437,,,,4.504166666666669,3.7111111111111126,1182.236111111111,0.0,0,0,1,0,0,0,0,0
2019-04-08,4.681944444444448,212.29861111111111,3.129861111111111,12.06666666666667,24.254861111111104,35.611111111111114,24.496527777777786,24.030555555555555,,,,4.060416666666667,3.434027777777778,1181.8958333333333,0.0,0,0,1,0,0,0,0,0
2019-04-09,4.676388888888892,208.95833333333334,2.983333333333331,16.909722222222214,22.71458333333334,42.09722222222222,22.96041666666666,22.47708333333333,,,,4.0270833333333345,3.277083333333333,1183.4027777777778,0.0,0,0,1,0,0,0,0,0
