,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,South,West,South-East,North-East,North,East
2019-05-15,4.146527777777778,183.85416666666666,2.4958333333333327,15.66041666666667,28.24166666666667,48.020833333333336,28.480555555555572,28.004861111111126,324.2916666666667,,,3.338194444444444,2.758333333333333,1183.1180555555557,0.0,0,1,0,0,0,0,0,0
2019-05-16,3.3213114754098347,199.58196721311475,1.9795081967213117,14.08606557377049,27.297222222222207,52.791666666666664,27.534722222222214,27.056944444444447,320.80555555555554,,,2.6639344262295093,2.2639344262295085,1310.5573770491803,0.0,0,1,0,0,0,0,0,0
2019-05-17,5.190277777777776,188.98611111111111,2.7979166666666653,17.186111111111117,26.092361111111114,50.90277777777778,26.309722222222216,25.880555555555564,323.59027777777777,,,3.941666666666667,3.1854166666666672,1183.4027777777778,0.0,0,1,0,0,0,0,0,0
2019-05-18,4.523728813559321,210.22881355932202,2.740677966101695,16.1593220338983,25.02638888888888,50.61805555555556,25.2388888888889,24.80625000000001,337.5625,,,3.6677966101694905,3.042372881355932,1306.550847457627,0.0,0,1,0,0,0,0,0,0
2019-05-19,4.876388888888887,192.36805555555554,2.9756944444444446,15.363194444444446,23.315277777777776,49.6875,23.518055555555556,23.103472222222226,349.90972222222223,,,3.8458333333333337,3.2368055555555553,1181.701388888889,0.0,0,1,0,0,0,0,0,0
2019-05-20,4.203030303030303,195.6590909090909,2.6575757575757573,12.870454545454551,24.752083333333346,65.63194444444444,24.951388888888886,24.549999999999997,333.2291666666667,,,3.3931818181818185,2.8878787878787873,1256.0984848484848,0.0,0,1,0,0,0,0,0,0
2019-05-21,3.927450980392156,182.95098039215685,2.5196078431372544,13.702941176470599,26.517482517482517,58.90909090909091,26.718181818181822,26.309790209790215,333.00694444444446,,,3.241176470588235,2.7764705882352945,1442.1568627450981,0.0,1,0,0,0,0,0,0,0
2019-05-22,2.5604166666666663,155.95833333333334,1.6479166666666665,16.068055555555553,27.850694444444446,42.916666666666664,28.110416666666673,27.60138888888888,330.00694444444446,,,2.084722222222222,1.8319444444444448,1166.8125,0.0,1,0,0,0,0,0,0,0
2019-05-23,2.6472222222222226,146.79861111111111,1.7527777777777778,14.993750000000006,29.20833333333332,38.861111111111114,29.45625000000001,28.9701388888889,310.9513888888889,,,2.2187499999999996,1.9326388888888881,1183.5972222222222,0.0,1,0,0,0,0,0,0,0
2019-05-24,3.168055555555555,158.36111111111111,1.9194444444444434,18.19791666666667,31.06666666666667,37.076388888888886,31.317361111111122,30.80833333333332,279.4791666666667,,,2.5694444444444438,2.1708333333333325,1182.548611111111,0.0,1,0,0,0,0,0,0,0
