,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,North,East,West,South,South-East
2019-05-24,3.6798611111111117,149.67361111111111,2.1972222222222224,24.15347222222223,37.02013888888887,19.82638888888889,37.64722222222222,36.412500000000016,,,,3.166666666666667,2.533333333333333,1166.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-05-25,7.144444444444446,40.75694444444444,5.02361111111111,13.263888888888891,32.777777777777764,36.0625,33.00347222222224,32.57569444444445,,,,6.203472222222222,5.329861111111111,1182.201388888889,0.0,1,0,0,0,0,0,0,0
2019-05-26,8.100694444444445,32.173611111111114,5.890277777777775,9.894444444444439,29.788194444444457,33.979166666666664,29.99166666666666,29.602083333333333,,,,7.070138888888888,6.176388888888891,1182.326388888889,0.0,1,0,0,0,0,0,0,0
2019-05-27,5.069444444444445,79.03472222222223,3.4548611111111103,13.985416666666666,30.02152777777779,35.701388888888886,30.25763888888891,29.815972222222236,,,,4.401388888888887,3.754166666666666,1180.8680555555557,0.0,1,0,0,0,0,0,0,0
2019-05-28,4.5166666666666675,88.33333333333333,3.075,12.266666666666662,30.512499999999996,39.833333333333336,30.736111111111118,30.304166666666656,,,,3.890277777777778,3.311805555555555,1182.798611111111,0.0,0,1,0,0,0,0,0,0
2019-05-29,5.127083333333334,75.72916666666667,3.573611111111112,13.875694444444447,32.78194444444443,37.74305555555556,33.04305555555556,32.53194444444445,,,,4.439583333333333,3.8312499999999994,1165.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-05-30,5.622916666666665,103.45833333333333,3.7638888888888897,15.946527777777776,36.04652777777776,25.243055555555557,36.37291666666669,35.681944444444454,,,,4.74236111111111,4.07986111111111,1181.9166666666667,0.0,0,1,0,0,0,0,0,0
2019-05-31,4.3055555555555545,132.48611111111111,2.879166666666666,16.718055555555566,35.945833333333354,23.631944444444443,36.27916666666667,35.588194444444454,,,,3.725694444444445,3.14375,1165.4930555555557,0.0,0,1,0,0,0,0,0,0
2019-06-01,4.527777777777776,122.5,3.2381944444444444,12.996527777777779,34.115972222222226,27.819444444444443,34.42291666666665,33.79861111111111,,,,3.926388888888889,3.427083333333335,1165.2777777777778,0.0,0,1,0,0,0,0,0,0
2019-06-02,4.586619718309859,108.51408450704226,3.178169014084508,15.673943661971833,32.70563380281689,35.316901408450704,32.98169014084508,32.43732394366197,,,,3.9739436619718305,3.467605633802817,1178.718309859155,0.0,0,1,0,0,0,0,0,0
2019-06-03,4.7770833333333345,102.3125,3.2701388888888903,14.913888888888888,33.246527777777786,35.673611111111114,33.53402777777777,32.976388888888884,,,,4.091666666666668,3.5451388888888906,1165.638888888889,0.0,0,1,0,0,0,0,0,0
2019-06-04,6.043055555555557,103.42361111111111,4.297916666666667,12.727777777777773,34.68194444444444,30.368055555555557,34.937500000000014,34.432638888888896,,,,5.218750000000003,4.574305555555553,1182.0625,0.0,0,1,0,0,0,0,0,0
2019-06-05,5.894444444444443,107.66666666666667,4.1694444444444425,11.99652777777777,35.48472222222223,27.84027777777778,35.77916666666667,35.210416666666674,,,,5.097222222222221,4.478472222222222,1182.6875,0.0,0,1,0,0,0,0,0,0
2019-06-06,6.418055555555555,71.8125,4.540277777777778,13.975694444444441,35.945833333333304,27.72222222222222,36.23750000000001,35.634722222222216,,,,5.567361111111111,4.865277777777777,1182.5208333333333,0.0,0,1,0,0,0,0,0,0
2019-06-07,6.988194444444444,130.02777777777777,4.837500000000002,13.698611111111111,35.107638888888886,27.868055555555557,35.33680555555555,34.89722222222224,,,,6.023611111111111,5.167361111111113,1182.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-06-08,6.514583333333333,72.69444444444444,4.788888888888887,9.324999999999994,32.10069444444444,42.638888888888886,32.27083333333333,31.94305555555557,,,,5.712500000000001,5.027083333333333,1181.763888888889,0.0,1,0,0,0,0,0,0,0
2019-06-09,5.93472222222222,102.99305555555556,4.210416666666667,11.813194444444447,31.864583333333357,37.416666666666664,32.075,31.656250000000014,,,,5.189583333333334,4.501388888888891,1165.513888888889,0.0,0,1,0,0,0,0,0,0
2019-06-10,4.897916666666665,108.01388888888889,3.1701388888888875,15.84513888888889,32.52569444444444,38.513888888888886,32.80555555555556,32.24097222222223,,,,4.146527777777778,3.472916666666667,1180.8472222222222,0.0,0,1,0,0,0,0,0,0
2019-06-11,4.9818181818181815,96.1048951048951,3.561538461538462,13.740559440559434,34.1909090909091,30.475524475524477,34.51258741258741,33.88671328671328,,,,4.332167832167833,3.8216783216783194,1182.6713286713286,0.0,0,1,0,0,0,0,0,0
2019-06-12,7.3187500000000005,137.04166666666666,4.427083333333333,18.436111111111114,33.74861111111112,31.604166666666668,34.048611111111114,33.482638888888914,,,,5.945833333333334,4.817361111111111,1183.5,0.0,0,1,0,0,0,0,0,0
2019-06-13,5.497222222222223,167.40972222222223,3.488194444444444,18.76527777777777,31.312500000000007,40.104166666666664,31.531250000000014,31.09930555555555,,,,4.676388888888891,3.837500000000001,1181.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-06-14,5.5805555555555575,131.97222222222223,3.8756944444444446,13.713194444444447,31.560416666666683,40.0625,31.77361111111111,31.352777777777785,,,,4.829861111111112,4.175694444444444,1182.111111111111,0.0,0,1,0,0,0,0,0,0
2019-06-15,5.900694444444444,61.833333333333336,4.224999999999998,11.754166666666668,31.950000000000003,40.09027777777778,32.18541666666667,31.73680555555556,,,,5.165972222222221,4.487499999999996,1166.5625,0.0,1,0,0,0,0,0,0,0
2019-06-16,5.367361111111111,86.01388888888889,3.62638888888889,14.12222222222222,33.04652777777776,40.125,33.28194444444446,32.81458333333332,,,,4.622222222222222,3.9284722222222226,1182.2083333333333,0.0,0,1,0,0,0,0,0,0
2019-06-17,5.698611111111112,116.5625,3.6027777777777783,17.618749999999995,33.610416666666666,36.958333333333336,33.8451388888889,33.36180555555554,,,,4.8680555555555545,3.948611111111111,1165.8333333333333,0.0,0,1,0,0,0,0,0,0
2019-06-18,5.8205882352941165,92.625,3.8220588235294106,14.818382352941178,32.652941176470605,39.72794117647059,32.89338235294117,32.41176470588235,,,,4.974264705882351,4.162500000000001,1202.4632352941176,0.0,0,1,0,0,0,0,0,0
2019-06-19,5.838194444444444,115.81944444444444,3.8583333333333343,16.584722222222222,33.01458333333334,36.645833333333336,33.2875,32.74722222222222,,,,4.960416666666667,4.186805555555558,1183.6666666666667,0.0,0,1,0,0,0,0,0,0
