,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,West,North,North-East,East,South-East,South
2019-05-11,3.7527777777777778,188.3125,2.3375000000000004,18.817361111111115,18.4611111111111,58.486111111111114,18.715972222222216,18.209722222222215,,,,3.0500000000000007,2.5402777777777787,1165.8819444444443,0.0,0,1,0,0,0,0,0,0
2019-05-12,3.8826388888888874,213.44444444444446,2.4006944444444436,16.875694444444445,21.39861111111112,40.361111111111114,21.661111111111108,21.11805555555556,,,,3.101388888888891,2.5729166666666656,1165.361111111111,0.0,0,1,0,0,0,0,0,0
2019-05-13,3.662499999999999,208.91666666666666,2.206944444444445,18.637500000000006,23.283333333333328,36.90972222222222,23.563888888888894,22.995833333333326,,,,2.8701388888888886,2.3631944444444444,1164.7777777777778,0.0,0,1,0,0,0,0,0,0
2019-05-14,3.5270833333333322,210.38194444444446,2.1354166666666674,19.539583333333333,23.80277777777778,35.18055555555556,24.096527777777784,23.50555555555556,,,,2.8625,2.343055555555555,1165.875,0.0,0,1,0,0,0,0,0,0
2019-05-15,3.310791366906475,204.3453237410072,2.0201438848920863,20.94316546762588,22.573611111111113,52.354166666666664,22.855555555555554,22.294444444444455,,,,2.7136690647482022,2.2244604316546757,1187.8345323741007,0.0,0,1,0,0,0,0,0,0
2019-05-16,3.6288732394366203,194.38732394366198,2.132394366197183,20.758450704225343,24.39647887323944,48.471830985915496,24.690140845070427,24.10774647887324,,,,2.9211267605633795,2.3401408450704224,1182.7676056338028,0.0,0,1,0,0,0,0,0,0
2019-05-17,4.823611111111111,201.44444444444446,2.716666666666666,19.27430555555555,24.54097222222224,48.291666666666664,24.870138888888878,24.227083333333326,,,,3.7277777777777774,2.9784722222222224,1182.5416666666667,0.0,0,1,0,0,0,0,0,0
2019-05-18,3.816666666666666,191.94444444444446,2.3381944444444454,16.82222222222222,21.917361111111116,50.34722222222222,22.158333333333335,21.69305555555555,,,,3.1361111111111106,2.534722222222223,1181.5625,0.0,0,1,0,0,0,0,0,0
2019-05-19,3.896527777777778,182.42361111111111,2.2729166666666663,18.08541666666666,20.118055555555554,55.770833333333336,20.39027777777776,19.855555555555547,,,,3.0972222222222228,2.5020833333333328,1183.9444444444443,0.0,0,1,0,0,0,0,0,0
2019-05-20,4.0291666666666694,201.01388888888889,2.3437499999999996,17.796527777777786,21.16527777777778,69.59027777777777,21.40625000000001,20.93055555555556,,,,3.2111111111111112,2.58888888888889,1181.5902777777778,0.0,0,1,0,0,0,0,0,0
