,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-03-24,,,,,14.868750000000002,88.27083333333333,15.023611111111105,14.716666666666661,,,,,,,0.03680555555555556,1,0,0,0,0,0,0,0,0
2019-03-25,,,,,11.467361111111114,88.13194444444444,11.590277777777777,11.346527777777782,,,,,,,0.11319444444444444,1,0,0,0,0,0,0,0,0
2019-03-26,,,,,13.049305555555552,78.45833333333333,13.221527777777773,12.890277777777769,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-27,,,,,14.42777777777778,88.00694444444444,14.592361111111112,14.255555555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-28,,,,,15.024999999999997,86.73611111111111,15.162500000000001,14.880555555555551,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-29,,,,,17.52083333333334,71.61111111111111,17.672222222222224,17.37291666666667,,,,,,,0.007638888888888888,1,0,0,0,0,0,0,0,0
2019-03-30,,,,,15.774305555555555,86.51388888888889,15.934722222222227,15.620138888888896,,,,,,,0.15486111111111112,1,0,0,0,0,0,0,0,0
2019-03-31,,,,,12.82708333333334,96.80555555555556,12.92152777777778,12.736805555555552,,,,,,,0.08472222222222213,1,0,0,0,0,0,0,0,0
2019-04-01,,,,,13.770833333333325,89.5,13.886111111111111,13.653472222222222,,,,,,,0.08333333333333331,1,0,0,0,0,0,0,0,0
2019-04-02,,,,,14.356249999999998,83.35416666666667,14.517361111111114,14.20972222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-03,,,,,13.879861111111119,81.16666666666667,14.069444444444436,13.695138888888883,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-04,,,,,15.040277777777769,85.89583333333333,15.219444444444447,14.86458333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-05,,,,,15.648611111111112,87.375,15.814583333333331,15.477083333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-06,,,,,16.936111111111114,77.15277777777777,17.11458333333333,16.751388888888883,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-07,,,,,19.36180555555556,73.86805555555556,19.58333333333333,19.145138888888887,,,,,,,0.0006944444444444445,1,0,0,0,0,0,0,0,0
2019-04-08,,,,,17.39930555555556,88.00694444444444,17.58611111111112,17.222916666666674,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-09,,,,,18.212499999999995,77.63888888888889,18.44166666666666,17.997222222222216,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-10,,,,,15.425000000000008,81.38194444444444,15.629861111111117,15.22013888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-11,,,,,14.669444444444443,82.11805555555556,14.878472222222232,14.468750000000004,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-12,,,,,16.013194444444448,78.32638888888889,16.22361111111111,15.813194444444443,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-13,,,,,20.14305555555555,65.03472222222223,20.402083333333326,19.887499999999996,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-14,,,,,18.74722222222221,75.97916666666667,18.929166666666664,18.582638888888884,,,,,,,0.0,1,0,0,0,0,0,0,0,0
