,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,West,South,North-East,North
2019-08-12,8.25555555555556,250.375,6.180555555555553,10.574305555555554,24.081944444444442,86.32638888888889,24.184027777777786,23.974305555555574,329.6041666666667,,,7.111805555555555,6.39861111111111,1181.8819444444443,0.0,0,0,1,0,0,0,0,0
2019-08-13,6.488194444444443,274.2916666666667,4.2569444444444455,15.51180555555555,25.422916666666673,72.82638888888889,25.570138888888888,25.27222222222223,318.6111111111111,,,5.238194444444442,4.456249999999997,1182.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-08-14,7.277777777777778,254.13194444444446,5.154861111111113,12.505555555555553,24.63958333333333,81.75,24.77500000000001,24.50347222222223,307.0486111111111,,,6.175694444444442,5.388888888888891,1183.25,0.0,0,0,1,0,0,0,0,0
2019-08-15,4.88455882352941,198.4485294117647,2.8735294117647054,18.53897058823529,25.612499999999997,65.0220588235294,25.76397058823531,25.46911764705882,260.5882352941176,,,3.8551470588235297,3.098529411764706,1183.8088235294117,0.0,0,0,1,0,0,0,0,0
2019-08-16,3.7631944444444443,227.33333333333334,1.8263888888888888,28.081250000000015,28.156250000000007,48.19444444444444,28.340277777777782,27.98819444444444,317.59722222222223,,,2.7743055555555554,2.0243055555555554,1165.0347222222222,0.0,0,0,1,0,0,0,0,0
2019-08-17,7.530555555555556,263.15972222222223,4.831944444444446,14.69583333333333,24.16458333333332,83.06944444444444,24.274305555555557,24.046527777777772,252.73611111111111,,,6.036805555555557,5.058333333333336,1182.3680555555557,0.0,0,0,1,0,0,0,0,0
2019-08-18,8.158865248226952,249.24822695035462,5.124822695035462,16.409219858156032,24.096453900709214,80.85106382978724,24.215602836879434,23.95957446808511,281.7163120567376,,,6.456028368794333,5.406382978723405,1191.113475177305,0.0,0,0,1,0,0,0,0,0
2019-08-19,7.234722222222219,243.90277777777777,4.63888888888889,14.455555555555552,23.60555555555557,73.36111111111111,23.75555555555556,23.45486111111112,310.36805555555554,,,5.8576388888888875,4.913194444444446,1182.0,0.0,0,0,1,0,0,0,0,0
2019-08-20,6.184027777777778,254.86111111111111,3.9187500000000006,15.725694444444454,23.943055555555546,77.04861111111111,24.09791666666666,23.790277777777774,270.5416666666667,,,5.00763888888889,4.154166666666667,1182.0833333333333,0.0,0,0,1,0,0,0,0,0
2019-08-21,4.877083333333333,292.9791666666667,2.34861111111111,27.350694444444443,25.246527777777775,73.38194444444444,25.3763888888889,25.120138888888903,312.74305555555554,,,3.563888888888888,2.5708333333333333,1165.0972222222222,0.0,0,1,0,0,0,0,0,0
2019-08-22,5.234722222222222,243.34027777777777,2.702083333333334,24.67361111111111,25.52083333333333,76.65972222222223,25.64930555555555,25.400000000000002,314.75,,,3.9006944444444454,2.9041666666666663,1166.0902777777778,0.0,0,0,1,0,0,0,0,0
2019-08-23,5.945833333333333,158.38194444444446,3.0451388888888875,28.24027777777777,26.189583333333342,74.125,26.32222222222223,26.055555555555554,305.7638888888889,,,4.286111111111111,3.259027777777778,1182.111111111111,0.0,1,0,0,0,0,0,0,0
2019-08-24,5.202777777777779,260.25694444444446,2.789583333333333,25.6576388888889,26.136805555555554,82.61111111111111,26.261111111111113,26.01458333333335,301.0833333333333,,,3.9340277777777763,3.0118055555555547,1181.4027777777778,0.0,0,1,0,0,0,0,0,0
2019-08-25,6.220279720279722,238.11888111888112,4.140559440559442,14.732167832167828,25.12657342657344,85.1048951048951,25.23496503496505,25.020279720279717,307.8881118881119,,,5.12937062937063,4.33846153846154,1182.8741258741259,0.0,0,0,1,0,0,0,0,0
2019-08-26,4.7048611111111125,248.46527777777777,2.4298611111111112,22.55347222222223,25.4861111111111,78.82638888888889,25.602777777777767,25.359027777777765,307.0763888888889,,,3.513194444444444,2.6375,1182.8958333333333,0.0,0,0,1,0,0,0,0,0
2019-08-27,4.988194444444444,245.23611111111111,2.6326388888888896,22.190972222222232,25.1111111111111,82.77083333333333,25.215277777777775,25.011805555555547,291.74305555555554,,,3.7638888888888875,2.8506944444444446,1182.2291666666667,0.0,0,0,1,0,0,0,0,0
2019-08-28,6.355555555555558,261.4791666666667,4.303472222222224,14.176388888888885,24.772222222222208,85.78472222222223,24.87291666666667,24.66388888888888,279.6041666666667,,,5.277777777777775,4.529166666666668,1166.513888888889,0.0,0,0,1,0,0,0,0,0
2019-08-29,6.185416666666665,262.4236111111111,3.9847222222222234,15.366666666666662,24.963888888888896,86.125,25.068750000000016,24.84513888888889,276.27777777777777,,,5.030555555555556,4.222222222222224,1181.486111111111,0.0,0,0,1,0,0,0,0,0
2019-08-30,7.813194444444442,257.56944444444446,5.486805555555555,12.1125,24.58402777777777,87.52777777777777,24.698611111111102,24.47916666666667,283.09722222222223,,,6.597222222222223,5.731249999999999,1183.0347222222222,0.0,0,0,1,0,0,0,0,0
2019-08-31,7.024999999999997,266.8263888888889,4.621527777777775,16.36666666666667,24.747916666666672,86.04861111111111,24.863888888888898,24.622916666666676,294.6041666666667,,,5.83125,4.890277777777778,1181.5,0.0,0,1,0,0,0,0,0,0
2019-09-01,2.9,295.0,1.6,22.5,23.2,96.0,23.2,23.2,0.0,,,2.2,1.8,2356.0,0.0,0,1,0,0,0,0,0,0
