,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,South-East,South-West,East,North-West,West,South,North-East,North
2019-08-18,5.974468085106385,239.3404255319149,4.117021276595745,11.329078014184395,25.836879432624123,72.55319148936171,26.046099290780145,25.670212765957455,300.86524822695037,,,5.046099290780145,4.317021276595745,1190.5886524822695,0.0,0,1,0,0,0,0,0,0
2019-08-19,5.411111111111112,234.61111111111111,3.553472222222222,13.020833333333336,25.39652777777779,67.4375,25.58055555555557,25.218750000000004,307.8541666666667,,,4.4624999999999995,3.760416666666666,1182.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-08-20,5.13125,245.52083333333334,3.4159722222222224,12.612500000000002,25.41527777777778,71.16666666666667,25.634722222222226,25.207638888888898,301.97222222222223,,,4.284027777777776,3.592361111111112,1180.9166666666667,0.0,0,1,0,0,0,0,0,0
2019-08-21,5.149305555555557,287.11805555555554,3.465972222222222,12.61249999999999,26.26875,67.92361111111111,26.47430555555555,26.068750000000012,319.0,,,4.340277777777778,3.6673611111111097,1181.701388888889,0.0,1,0,0,0,0,0,0,0
2019-08-22,4.781944444444443,277.02777777777777,3.3513888888888896,11.952777777777774,26.47569444444444,71.48611111111111,26.66388888888888,26.299999999999994,315.0416666666667,,,4.109722222222222,3.5145833333333347,1181.3402777777778,0.0,1,0,0,0,0,0,0,0
2019-08-23,4.724305555555556,274.18055555555554,3.369444444444447,12.438194444444447,27.088194444444447,70.71527777777777,27.284722222222214,26.901388888888892,302.1666666666667,,,4.060416666666668,3.5312500000000018,1182.6666666666667,0.0,1,0,0,0,0,0,0,0
2019-08-24,5.268750000000001,274.9236111111111,3.72013888888889,10.176388888888889,26.970833333333335,78.56944444444444,27.149305555555554,26.806944444444454,301.7638888888889,,,4.504166666666666,3.8784722222222205,1182.361111111111,0.0,1,0,0,0,0,0,0,0
2019-08-25,5.2153846153846155,259.8951048951049,3.5608391608391594,11.795804195804198,26.532867132867143,77.77622377622377,26.71468531468532,26.361538461538462,295.8811188811189,,,4.366433566433568,3.747552447552444,1183.1538461538462,0.0,0,1,0,0,0,0,0,0
2019-08-26,4.728472222222224,277.59027777777777,3.3381944444444445,11.096527777777776,26.420833333333327,74.65277777777777,26.61736111111112,26.234027777777772,304.40277777777777,,,4.047916666666667,3.520138888888889,1181.6458333333333,0.0,1,0,0,0,0,0,0,0
2019-08-27,5.084722222222224,269.56944444444446,3.5451388888888897,10.881944444444443,26.130555555555567,78.38194444444444,26.34722222222222,25.956249999999997,288.25694444444446,,,4.388194444444441,3.7333333333333334,1166.9930555555557,0.0,0,1,0,0,0,0,0,0
2019-08-28,5.458333333333333,254.22222222222223,3.747222222222223,11.672222222222228,26.154861111111106,79.29166666666667,26.347916666666663,25.995138888888903,289.0833333333333,,,4.62013888888889,3.9569444444444466,1165.8055555555557,0.0,0,1,0,0,0,0,0,0
2019-08-29,5.488194444444445,255.57638888888889,3.7493055555555563,12.08194444444445,26.272916666666678,80.15972222222223,26.474305555555546,26.088194444444436,278.90972222222223,,,4.621527777777778,3.9340277777777786,1181.826388888889,0.0,0,1,0,0,0,0,0,0
2019-08-30,5.909722222222224,252.86111111111111,4.154861111111111,11.044444444444446,26.345833333333346,79.9375,26.527083333333334,26.185416666666665,295.27777777777777,,,5.001388888888886,4.34236111111111,1166.2083333333333,0.0,0,1,0,0,0,0,0,0
2019-08-31,5.651388888888889,254.70833333333334,3.851388888888889,12.070833333333336,26.04236111111111,82.01388888888889,26.218055555555562,25.861111111111107,298.21527777777777,,,4.697222222222225,4.0375000000000005,1181.9305555555557,0.0,0,1,0,0,0,0,0,0
2019-09-01,2.6,236.0,2.2,6.0,23.3,96.0,23.4,23.2,0.0,,,2.4,2.6,2351.0,0.0,0,1,0,0,0,0,0,0
