,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,West,East,North,South,South-East
2019-06-01,6.936805555555554,90.09027777777777,2.9208333333333334,30.779861111111106,35.030555555555566,17.819444444444443,35.16875000000001,34.89375000000002,317.2361111111111,,,4.527777777777775,3.239583333333334,1182.5694444444443,0.0,1,0,0,0,0,0,0,0
2019-06-02,7.45281690140845,46.16197183098591,3.1049295774647896,29.26760563380281,34.51338028169013,19.41549295774648,34.66901408450705,34.349295774647906,315.8098591549296,,,4.746478873239438,3.3985915492957757,1177.6408450704225,0.0,1,0,0,0,0,0,0,0
2019-06-03,7.545833333333334,38.78472222222222,3.118055555555556,28.799999999999997,35.43194444444445,20.729166666666668,35.56666666666668,35.283333333333346,325.1875,,,4.8076388888888895,3.403472222222222,1182.4583333333333,0.0,1,0,0,0,0,0,0,0
2019-06-04,7.828472222222219,57.19444444444444,3.1374999999999984,31.059722222222224,36.084722222222226,22.88888888888889,36.22569444444448,35.93194444444448,244.140625,,,4.95972222222222,3.4583333333333335,1181.0694444444443,0.0,1,0,0,0,0,0,0,0
2019-06-05,7.544444444444442,92.0,3.1895833333333337,29.461805555555568,35.82361111111112,22.916666666666668,35.959027777777784,35.688888888888876,289.53472222222223,,,4.89375,3.4770833333333333,1181.2708333333333,0.0,1,0,0,0,0,0,0,0
2019-06-06,6.585416666666668,125.73611111111111,2.708333333333332,30.653472222222224,35.911111111111126,22.95138888888889,36.073611111111106,35.731249999999996,274.6666666666667,,,4.2375000000000025,3.0152777777777757,1181.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-06-07,7.783333333333338,136.11805555555554,3.1951388888888896,30.362499999999997,33.48819444444445,31.805555555555557,33.629861111111126,33.33333333333335,238.515625,,,5.053472222222222,3.497916666666665,1181.5416666666667,0.0,0,1,0,0,0,0,0,0
2019-06-08,6.377083333333332,210.51388888888889,2.652083333333332,30.674999999999997,31.178472222222222,32.46527777777778,31.327777777777783,31.02430555555556,254.3,,,4.185416666666666,2.9333333333333327,1182.1041666666667,0.0,0,0,1,0,0,0,0,0
2019-06-09,3.8284722222222243,150.54861111111111,1.7715277777777783,28.18194444444445,30.717361111111124,29.854166666666668,30.913194444444443,30.537500000000005,318.28472222222223,,,2.720138888888889,1.9638888888888881,1181.576388888889,0.0,0,1,0,0,0,0,0,0
2019-06-10,3.4166666666666665,149.27083333333334,1.7097222222222217,23.44444444444445,31.47708333333334,31.430555555555557,31.637500000000006,31.302777777777774,264.5923076923077,,,2.5284722222222236,1.874305555555556,1181.8055555555557,0.0,0,1,0,0,0,0,0,0
2019-06-11,2.678472222222223,167.38194444444446,1.3083333333333331,22.336111111111098,31.717361111111114,35.638888888888886,31.90069444444446,31.534027777777776,238.128,,,1.9368055555555561,1.4659722222222227,1181.75,0.0,0,1,0,0,0,0,0,0
2019-06-12,4.364583333333335,185.67361111111111,1.8951388888888887,28.78194444444445,33.10208333333331,26.95138888888889,33.264583333333334,32.913194444444464,202.26050420168067,,,2.972916666666667,2.125,1164.9583333333333,0.0,0,0,1,0,0,0,0,0
2019-06-13,5.70833333333333,139.57638888888889,2.3451388888888896,32.920833333333334,31.243055555555557,32.94444444444444,31.37152777777779,31.095833333333335,347.6875,,,3.7986111111111103,2.613194444444445,1164.8055555555557,0.0,0,1,0,0,0,0,0,0
2019-06-14,5.6062499999999975,105.57638888888889,2.2375,33.79791666666668,31.658333333333335,34.09722222222222,31.794444444444448,31.5138888888889,335.25,,,3.711805555555558,2.5138888888888893,1181.1875,0.0,0,1,0,0,0,0,0,0
2019-06-15,3.8416666666666677,141.76388888888889,1.7958333333333343,26.54444444444444,31.388194444444448,39.15972222222222,31.540277777777778,31.229861111111127,334.93055555555554,,,2.7354166666666675,2.0173611111111116,1181.8194444444443,0.0,0,1,0,0,0,0,0,0
2019-06-16,3.1013888888888896,173.00694444444446,1.5513888888888887,24.78263888888889,31.312500000000018,41.21527777777778,31.47500000000001,31.137499999999996,333.61805555555554,,,2.264583333333333,1.7104166666666665,1165.3541666666667,0.0,0,1,0,0,0,0,0,0
2019-06-17,3.5909722222222222,152.77083333333334,1.6708333333333334,25.04305555555555,32.01180555555556,41.6875,32.23402777777778,31.791666666666654,308.06944444444446,,,2.525694444444445,1.877083333333333,1183.6041666666667,0.0,0,1,0,0,0,0,0,0
2019-06-18,4.788888888888888,128.02777777777777,1.8333333333333333,35.42916666666669,33.77916666666666,28.520833333333332,33.92569444444445,33.61805555555557,334.05555555555554,,,3.101388888888889,2.084722222222222,1181.701388888889,0.0,0,1,0,0,0,0,0,0
2019-06-19,4.2243055555555555,189.30555555555554,1.729166666666667,30.20138888888889,34.36458333333334,26.23611111111111,34.53263888888889,34.1888888888889,333.7083333333333,,,2.8131944444444463,1.9611111111111106,1181.9097222222222,0.0,0,0,1,0,0,0,0,0
