,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,East,North-East,North,South-East,West,South
2019-03-10,4.313194444444448,186.54166666666666,3.2861111111111114,11.995833333333332,15.772222222222211,77.59027777777777,15.95347222222222,15.612500000000004,,,,3.890972222222219,3.520833333333332,1165.2291666666667,,0,1,0,0,0,0,0,0
2019-03-11,2.5062499999999996,216.88888888888889,1.7986111111111118,11.524305555555559,16.3611111111111,83.95833333333333,16.519444444444442,16.23125,,,,2.2534722222222228,2.0291666666666655,1181.5555555555557,,0,1,0,0,0,0,0,0
2019-03-12,2.3194444444444446,180.31944444444446,1.6652777777777772,14.478472222222226,17.14583333333333,85.0625,17.31319444444445,16.964583333333323,,,,2.124305555555556,1.8909722222222218,1182.5347222222222,,0,1,0,0,0,0,0,0
2019-03-13,3.7194444444444446,221.07638888888889,2.542361111111111,16.524305555555557,18.143055555555566,74.80555555555556,18.346527777777787,17.956944444444456,,,,3.387500000000001,2.9326388888888886,1167.638888888889,,0,1,0,0,0,0,0,0
2019-03-14,4.274305555555554,195.82638888888889,3.2125000000000004,11.324999999999996,15.261111111111111,85.0,15.393055555555557,15.131944444444448,,,,3.8701388888888895,3.520833333333332,1181.986111111111,,0,1,0,0,0,0,0,0
2019-03-15,3.180555555555556,221.24305555555554,2.2534722222222223,14.909722222222225,16.25138888888889,82.27777777777777,16.38055555555555,16.122222222222224,,,,2.8743055555555563,2.540277777777778,1165.3680555555557,,0,1,0,0,0,0,0,0
2019-03-16,6.213274336283185,165.24778761061947,4.649557522123895,11.761946902654865,14.268055555555549,90.69444444444444,14.412500000000003,14.134722222222218,,,,5.594690265486726,5.035398230088496,937.9203539823009,,1,0,0,0,0,0,0,0
2019-03-17,6.641666666666665,218.81944444444446,4.952083333333331,10.52847222222222,16.57847222222222,83.3125,16.706944444444442,16.452083333333324,,,,5.950694444444442,5.279861111111112,1181.0625,,0,1,0,0,0,0,0,0
2019-03-18,2.7555555555555546,215.36111111111111,1.9958333333333331,11.369444444444436,16.70416666666667,85.06944444444444,16.82291666666667,16.590277777777768,,,,2.5111111111111106,2.202083333333333,1182.0277777777778,,0,1,0,0,0,0,0,0
2019-03-19,2.579166666666667,220.72916666666666,1.9506944444444447,10.581249999999997,17.671527777777772,81.04861111111111,17.87569444444445,17.473611111111122,,,,2.3659722222222213,2.1472222222222226,1181.5972222222222,,0,1,0,0,0,0,0,0
2019-03-20,2.868749999999999,229.54861111111111,2.153472222222222,10.23402777777778,18.87291666666666,79.70833333333333,19.065972222222214,18.684722222222227,,,,2.6486111111111112,2.34861111111111,1165.361111111111,,0,1,0,0,0,0,0,0
2019-03-21,3.422916666666667,217.39583333333334,2.479166666666667,11.58819444444444,18.953472222222228,74.79861111111111,19.118749999999995,18.79166666666667,,,,3.156944444444445,2.7395833333333344,1181.8472222222222,,0,1,0,0,0,0,0,0
