,WSmax_43,WDmax_43,WS_43,STDwd_43,TD_43,RH_43,TDmax_43,TDmin_43,Grad_43,NIP_43,DiffR_43,WS1mm_43,Ws10mm_43,Time_43,Rain_43,Fail_43,East_43,North-West_43,West_43,South-West_43,South_43,North-East_43,North_43,South-East_43,WSmax_42,WDmax_42,WS_42,STDwd_42,TD_42,RH_42,TDmax_42,TDmin_42,Grad_42,NIP_42,DiffR_42,WS1mm_42,Ws10mm_42,Time_42,Rain_42,North-West_42,South-East_42,South-West_42,East_42,West_42,South_42,North-East_42,North_42,WSmax_41,WDmax_41,WS_41,STDwd_41,TD_41,RH_41,TDmax_41,TDmin_41,Grad_41,NIP_41,DiffR_41,WS1mm_41,Ws10mm_41,Time_41,Rain_41,Fail_41,East_41,North-West_41,West_41,South-West_41,South_41,North-East_41,North_41,South-East_41
2019-08-21,,,,,26.300694444444453,68.8263888888889,26.48263888888888,26.11597222222223,305.4930555555556,108.23157894736843,40.020833333333336,,,,0.0,1,0,0,0,0,0,0,0,0,4.877083333333333,292.9791666666667,2.3486111111111097,27.350694444444446,25.246527777777768,73.38194444444444,25.376388888888897,25.120138888888906,312.7430555555556,,,3.563888888888888,2.5708333333333333,1165.0972222222224,0.0,0,1,0,0,0,0,0,0,,,,,29.0625,64.3263888888889,29.245138888888878,28.878472222222232,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-22,,,,,26.795833333333324,70.20833333333333,26.962499999999995,26.627777777777773,314.09027777777777,42.85,37.305555555555564,,,,0.0,1,0,0,0,0,0,0,0,0,5.234722222222222,243.34027777777774,2.702083333333334,24.67361111111111,25.52083333333333,76.65972222222223,25.64930555555555,25.4,314.75,,,3.900694444444445,2.9041666666666663,1166.0902777777776,0.0,0,0,1,0,0,0,0,0,,,,,28.565277777777773,68.71527777777777,28.774305555555557,28.349305555555574,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-23,,,,,27.452083333333334,69.0763888888889,27.59861111111111,27.296527777777772,304.8819444444445,1.7666666666666666,42.46527777777778,,,,0.0,1,0,0,0,0,0,0,0,0,5.945833333333333,158.38194444444446,3.0451388888888875,28.240277777777766,26.189583333333346,74.125,26.322222222222234,26.055555555555554,305.7638888888889,,,4.286111111111111,3.2590277777777783,1182.111111111111,0.0,1,0,0,0,0,0,0,0,,,,,29.30208333333333,69.78472222222223,29.481944444444476,29.120833333333348,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-24,,,,,27.572916666666675,74.13194444444444,27.71249999999999,27.424305555555534,302.4513888888889,,42.611111111111114,,,,0.0,1,0,0,0,0,0,0,0,0,5.202777777777778,260.25694444444446,2.7895833333333333,25.657638888888897,26.136805555555554,82.6111111111111,26.261111111111113,26.01458333333335,301.0833333333333,,,3.934027777777776,3.0118055555555547,1181.4027777777776,0.0,0,1,0,0,0,0,0,0,,,,,30.17013888888888,70.70833333333333,30.340277777777768,29.98472222222223,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-25,,,,,26.97430555555556,75.1875,27.1375,26.81597222222223,306.72222222222223,,39.611111111111114,,,,0.0,1,0,0,0,0,0,0,0,0,6.220279720279723,238.11888111888112,4.140559440559442,14.732167832167828,25.126573426573444,85.10489510489509,25.234965034965054,25.020279720279717,307.8881118881119,,,5.12937062937063,4.33846153846154,1182.8741258741259,0.0,0,0,1,0,0,0,0,0,,,,,29.411888111888103,70.74125874125876,29.5937062937063,29.211888111888122,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-26,,,,,26.66180555555555,71.36805555555556,26.83888888888889,26.47708333333333,307.09722222222223,23.28205128205128,35.013888888888886,,,,0.0,1,0,0,0,0,0,0,0,0,4.7048611111111125,248.46527777777774,2.4298611111111112,22.553472222222233,25.486111111111104,78.8263888888889,25.602777777777767,25.35902777777777,307.0763888888889,,,3.5131944444444434,2.6375,1182.8958333333333,0.0,0,0,1,0,0,0,0,0,,,,,28.64999999999999,71.44444444444444,28.859027777777772,28.45555555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-27,,,,,26.345138888888897,75.50694444444444,26.495138888888913,26.193055555555574,290.125,13.243243243243244,61.6875,,,,0.0,1,0,0,0,0,0,0,0,0,4.988194444444444,245.23611111111111,2.6326388888888896,22.190972222222232,25.111111111111104,82.77083333333333,25.215277777777768,25.011805555555547,291.7430555555556,,,3.763888888888888,2.8506944444444446,1182.2291666666667,0.0,0,0,1,0,0,0,0,0,,,,,28.665277777777785,71.64583333333333,28.849305555555574,28.453472222222228,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-28,,,,,26.623611111111124,76.15277777777777,26.76527777777777,26.47777777777778,293.6111111111111,299.375,55.368055555555564,,,,0.0,1,0,0,0,0,0,0,0,0,6.355555555555558,261.4791666666667,4.303472222222224,14.176388888888884,24.772222222222208,85.78472222222223,24.87291666666667,24.663888888888877,279.6041666666667,,,5.277777777777776,4.529166666666668,1166.513888888889,0.0,0,0,1,0,0,0,0,0,,,,,29.51666666666665,70.1875,29.703472222222214,29.32291666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-29,,,,,26.793750000000006,76.44444444444444,26.935416666666665,26.652083333333334,284.625,269.6388888888889,62.548611111111114,,,,0.0,1,0,0,0,0,0,0,0,0,6.185416666666665,262.4236111111111,3.984722222222224,15.366666666666662,24.963888888888892,86.125,25.068750000000016,24.84513888888889,276.27777777777777,,,5.030555555555557,4.222222222222224,1181.486111111111,0.0,0,0,1,0,0,0,0,0,,,,,29.412500000000005,72.00694444444444,29.58888888888889,29.222222222222218,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-30,,,,,26.71041666666667,76.36805555555556,26.84513888888888,26.579166666666694,296.7291666666667,326.7708333333333,46.131944444444436,,,,0.0,1,0,0,0,0,0,0,0,0,7.8131944444444414,257.56944444444446,5.486805555555555,12.1125,24.584027777777766,87.52777777777777,24.698611111111106,24.47916666666667,283.09722222222223,,,6.597222222222222,5.731249999999998,1183.0347222222224,0.0,0,0,1,0,0,0,0,0,,,,,29.62777777777778,70.1388888888889,29.82222222222221,29.45,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-31,,,,,26.724305555555567,75.30555555555556,26.882638888888888,26.554861111111112,298.2708333333333,168.1089108910891,44.03472222222222,,,,0.0,1,0,0,0,0,0,0,0,0,7.024999999999998,266.8263888888889,4.621527777777776,16.36666666666667,24.74791666666667,86.0486111111111,24.863888888888894,24.62291666666668,294.6041666666667,,,5.83125,4.890277777777778,1181.5,0.0,0,1,0,0,0,0,0,0,,,,,29.163888888888888,71.3125,29.37361111111112,28.965972222222234,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-09-01,,,,,24.4,87.0,24.5,24.3,0.0,2.0,0.0,,,,0.0,1,0,0,0,0,0,0,0,0,2.9,295.0,1.6,22.5,23.2,96.0,23.2,23.2,0.0,,,2.2,1.8,2356.0,0.0,0,1,0,0,0,0,0,0,,,,,26.4,86.0,26.5,26.4,,,,,,,0.0,1,0,0,0,0,0,0,0,0
