,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,South-East,South-West,North-East,East,North-West,South,North,West
2019-08-22,7.327083333333331,290.38194444444446,4.640277777777778,14.48055555555555,26.245138888888885,68.59027777777777,26.407638888888883,26.10000000000001,,,,5.845833333333335,4.867361111111113,1182.1597222222222,0.0,1,0,0,0,0,0,0,0
2019-08-23,7.369444444444444,271.55555555555554,4.889583333333332,15.18125000000001,27.213194444444447,62.520833333333336,27.377083333333324,27.0375,,,,6.003472222222223,5.122916666666666,1181.9305555555557,0.0,1,0,0,0,0,0,0,0
2019-08-24,8.759722222222221,284.40277777777777,6.17986111111111,10.461111111111116,26.695138888888884,77.63194444444444,26.820138888888877,26.57152777777778,,,,7.251388888888891,6.359722222222222,1182.0555555555557,0.0,1,0,0,0,0,0,0,0
2019-08-25,7.409790209790212,282.6643356643357,5.124475524475524,10.992307692307687,26.127272727272732,80.7062937062937,26.26013986013986,25.988811188811198,,,,6.160839160839158,5.320279720279718,1166.9650349650349,0.0,1,0,0,0,0,0,0,0
2019-08-26,6.518750000000006,258.5486111111111,4.505555555555556,13.349305555555553,25.981690140845064,68.02112676056338,26.134507042253528,25.8281690140845,,,,5.4222222222222225,4.731944444444446,1182.736111111111,0.0,0,1,0,0,0,0,0,0
2019-08-27,7.5625,269.93055555555554,5.178472222222222,12.941666666666672,25.827083333333334,66.18055555555556,25.986805555555563,25.66388888888889,,,,6.252777777777779,5.394444444444442,1182.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-08-28,8.181250000000006,293.94444444444446,5.538194444444445,11.817361111111111,25.740277777777788,78.24305555555556,25.886111111111102,25.597222222222225,,,,6.715972222222219,5.768750000000001,1166.138888888889,0.0,1,0,0,0,0,0,0,0
2019-08-29,7.904166666666664,292.11805555555554,5.412499999999998,11.633333333333335,25.770833333333343,79.72222222222223,25.90902777777778,25.65208333333334,,,,6.449305555555555,5.635416666666665,1182.0,0.0,1,0,0,0,0,0,0,0
2019-08-30,8.052083333333336,288.7013888888889,5.418055555555555,11.712499999999993,25.68333333333333,79.56944444444444,25.81666666666667,25.55833333333334,,,,6.554861111111112,5.625000000000001,1181.4652777777778,0.0,1,0,0,0,0,0,0,0
2019-08-31,7.079166666666669,287.3958333333333,4.808333333333337,12.50833333333333,25.834027777777774,77.83333333333333,25.992361111111123,25.676388888888894,,,,5.867361111111112,4.997916666666667,1181.7430555555557,0.0,1,0,0,0,0,0,0,0
2019-09-01,5.0,287.0,3.7,10.0,22.9,78.0,23.0,22.9,,,,4.2,3.7,2353.0,0.0,1,0,0,0,0,0,0,0
