,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North,North-West,West,East,North-East,South,South-West,South-East
2019-05-08,,,,,18.54791666666666,68.875,18.665277777777753,18.428472222222226,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-09,,,,,18.42446043165469,64.18705035971223,18.563309352517987,18.2978417266187,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-10,,,,,18.292361111111116,64.9375,18.43958333333335,18.15138888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-11,,,,,18.43472222222222,72.9375,18.577083333333334,18.30694444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-12,,,,,19.854861111111124,80.97222222222223,19.973611111111115,19.731249999999992,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-13,,,,,20.67708333333332,75.95833333333333,20.784027777777776,20.571527777777774,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-14,,,,,21.108333333333338,74.26388888888889,21.255555555555564,20.977777777777767,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-15,,,,,21.293055555555547,82.25,21.409722222222218,21.16041666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-16,,,,,22.568750000000023,79.66666666666667,22.711805555555564,22.42777777777779,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-17,,,,,22.457638888888894,76.09027777777777,22.61180555555556,22.307638888888885,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-18,,,,,21.510416666666664,75.22916666666667,21.63958333333333,21.37430555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-19,,,,,21.075694444444434,76.50694444444444,21.206944444444435,20.944444444444454,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-20,,,,,21.154861111111117,81.80555555555556,21.27569444444444,21.03958333333335,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-21,,,,,21.529166666666676,86.85416666666667,21.64513888888889,21.415972222222226,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-22,,,,,22.661805555555556,80.59027777777777,22.779861111111103,22.54236111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-23,,,,,26.321527777777778,54.74305555555556,26.543055555555547,26.08055555555557,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-24,,,,,27.196527777777767,58.013888888888886,27.54166666666666,26.874999999999996,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-25,,,,,23.306944444444444,81.47916666666667,23.408333333333328,23.215277777777782,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-26,,,,,22.351388888888877,75.5,22.493055555555554,22.22361111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-27,,,,,22.099999999999994,78.15972222222223,22.23055555555557,21.96805555555554,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-28,,,,,23.302083333333346,78.92361111111111,23.40486111111113,23.198611111111116,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-29,,,,,23.281944444444463,87.25,23.387500000000003,23.177777777777795,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-30,,,,,24.17847222222223,83.76388888888889,24.29722222222222,24.068749999999994,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-31,,,,,24.806249999999995,85.71527777777777,24.926388888888873,24.68194444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-01,,,,,24.368055555555557,85.41666666666667,24.475694444444443,24.26180555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-02,,,,,24.447183098591545,83.85915492957747,24.58943661971831,24.311971830985918,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-03,,,,,24.650000000000013,84.30555555555556,24.7625,24.549305555555573,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-04,,,,,25.40208333333334,79.48611111111111,25.512500000000006,25.288888888888877,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-05,,,,,25.634027777777778,78.99305555555556,25.741666666666664,25.534722222222214,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-06-06,,,,,25.386805555555576,82.03472222222223,25.4652777777778,25.311805555555548,,,,,,,0.0,1,0,0,0,0,0,0,0,0
