,,,,,,,,,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North,North-East,North-West,South-East,South-West,East,South,West
2018,1,11,0,0,0,3,11,-1,3.6909722222222237,166.64583333333334,2.0618055555555532,18.009027777777774,13.859027777777781,56.47222222222222,14.076388888888888,13.652083333333332,179.04166666666666,312.5244755244755,23.493055555555557,2.784027777777778,2.234027777777777,1165.5277777777778,0.0,0,0,1,0,0,0,0,0
2018,1,12,0,0,0,4,12,-1,3.5375000000000005,119.61111111111111,2.177083333333334,14.865277777777774,14.765277777777776,42.833333333333336,14.94097222222222,14.586805555555559,169.375,245.0979020979021,39.06944444444444,2.7944444444444456,2.332638888888889,1183.0347222222222,0.0,0,0,1,0,0,0,0,0
2018,1,13,0,0,0,5,13,-1,2.811805555555555,210.42361111111111,1.685416666666667,18.16875,15.332638888888892,54.00694444444444,15.529166666666661,15.14930555555555,152.57638888888889,191.58333333333334,50.833333333333336,2.2902777777777774,1.8666666666666676,1182.576388888889,0.0,0,0,0,0,1,0,0,0
2018,1,14,0,0,0,6,14,-1,3.535416666666668,212.07638888888889,1.9520833333333316,20.732638888888886,15.958333333333336,41.763888888888886,16.14791666666666,15.774999999999997,167.00694444444446,236.875,39.013888888888886,2.8284722222222225,2.231944444444445,1166.3958333333333,0.0,0,0,0,0,1,0,0,0
2018,1,15,0,0,0,0,15,-1,2.39861111111111,156.09722222222223,1.4277777777777774,22.056250000000002,13.899305555555564,56.15277777777778,14.116666666666664,13.692361111111106,157.88888888888889,214.44444444444446,38.18055555555556,2.018055555555556,1.6090277777777777,1181.1527777777778,0.0,0,0,1,0,0,0,0,0
2018,1,16,0,0,0,1,16,-1,4.412500000000002,143.47222222222223,2.697916666666666,12.350694444444446,13.92777777777778,62.770833333333336,14.05138888888888,13.79444444444444,176.56944444444446,288.0208333333333,30.520833333333332,3.3979166666666676,2.856944444444443,1166.236111111111,0.0,0,0,1,0,0,0,0,0
2018,1,17,0,0,0,2,17,-1,2.5680555555555564,152.875,1.5624999999999996,17.1,13.541666666666666,59.96527777777778,13.697222222222226,13.398611111111116,149.17361111111111,145.54861111111111,62.03472222222222,2.1513888888888895,1.7388888888888885,1183.1180555555557,0.0,0,0,1,0,0,0,0,0
2018,1,18,0,0,0,3,18,-1,2.9631944444444436,205.74305555555554,1.5520833333333328,21.04652777777777,13.95416666666666,55.354166666666664,14.168055555555553,13.759027777777781,175.06944444444446,283.7887323943662,28.395833333333332,2.288194444444444,1.7520833333333325,1182.4027777777778,0.0,0,0,0,0,1,0,0,0
2018,1,19,0,0,0,4,19,-1,6.784027777777776,272.2638888888889,3.6243055555555563,17.648611111111105,14.752777777777778,45.40277777777778,14.867361111111105,14.650694444444447,95.22222222222223,56.395833333333336,62.826388888888886,5.027777777777776,3.954861111111112,1165.048611111111,0.0,0,0,0,1,0,0,0,0
2018,1,20,0,0,0,5,20,-1,3.4152777777777783,141.80555555555554,2.0041666666666664,15.334722222222227,12.949305555555558,57.86805555555556,13.108333333333338,12.789583333333336,183.15972222222223,291.7762237762238,30.63888888888889,2.699305555555556,2.184722222222222,1165.4375,0.0,0,0,1,0,0,0,0,0
2018,1,21,0,0,0,6,21,-1,2.78125,172.02083333333334,1.6611111111111112,21.257638888888884,13.722916666666666,52.21527777777778,13.91875,13.511111111111111,174.95138888888889,201.35416666666666,63.291666666666664,2.307638888888889,1.8680555555555556,1183.3402777777778,0.0,0,0,0,0,1,0,0,0
2018,1,22,0,0,0,0,22,-1,4.1402777777777775,214.59027777777777,2.215277777777778,18.6576388888889,16.47222222222222,43.145833333333336,16.706944444444442,16.25069444444445,158.08333333333334,125.67361111111111,77.06944444444444,3.1972222222222215,2.4840277777777775,1164.263888888889,0.0,0,0,0,0,1,0,0,0
2018,1,23,0,0,0,1,23,-1,4.031250000000001,218.38888888888889,2.1937500000000005,21.44444444444445,15.77013888888888,44.763888888888886,15.997222222222218,15.559027777777779,110.57638888888889,37.520833333333336,86.61111111111111,3.1708333333333347,2.470833333333333,1182.9930555555557,0.0,0,0,0,0,1,0,0,0
2018,1,24,0,0,0,2,24,-1,2.3923611111111125,126.82638888888889,1.406944444444444,17.736111111111107,15.172916666666664,45.5,15.325694444444448,15.023611111111112,139.34027777777777,77.6013986013986,89.47222222222223,1.9638888888888897,1.5659722222222223,1181.2569444444443,0.0,0,0,1,0,0,0,0,0
2018,1,25,0,0,0,3,25,-1,3.4006944444444436,195.60416666666666,1.9187500000000004,17.270138888888887,13.356250000000005,63.44444444444444,13.513194444444453,13.207638888888887,92.99305555555556,54.34265734265734,58.416666666666664,2.7020833333333316,2.200694444444446,1181.576388888889,0.004166666666666667,0,0,0,0,1,0,0,0
2018,1,26,0,0,0,4,26,-1,5.163194444444445,245.97916666666666,2.69375,21.048611111111107,13.287500000000005,48.875,13.404166666666669,13.163888888888888,119.61805555555556,99.09722222222223,67.25694444444444,3.914583333333333,3.006944444444444,1181.8472222222222,0.0,0,0,0,0,1,0,0,0
2018,1,27,0,0,0,5,27,-1,2.6090277777777775,205.19444444444446,1.3881944444444443,18.706249999999994,12.57291666666666,64.94444444444444,12.634722222222218,12.50486111111111,47.923611111111114,1.1805555555555556,44.583333333333336,2.078472222222223,1.6097222222222223,1182.6041666666667,0.004166666666666667,0,0,0,0,1,0,0,0
2018,1,28,0,0,0,6,28,-1,3.5437500000000006,97.36111111111111,2.0680555555555546,14.06527777777778,12.625694444444452,65.32638888888889,12.75347222222222,12.491666666666669,194.10416666666666,299.1111111111111,32.048611111111114,2.764583333333333,2.227083333333334,1181.7847222222222,0.0,0,0,1,0,0,0,0,0
2018,1,29,0,0,0,0,29,-1,4.1194444444444445,132.35416666666666,2.442361111111111,13.586805555555555,12.23333333333334,64.95138888888889,12.371527777777773,12.09722222222222,184.65277777777777,217.7972027972028,54.263888888888886,3.137500000000001,2.5777777777777775,1165.7569444444443,0.0,0,0,1,0,0,0,0,0
2018,1,30,0,0,0,1,30,-1,4.625,141.14583333333334,2.825694444444445,13.037500000000007,12.770833333333337,62.72222222222222,12.911805555555556,12.634722222222223,197.07638888888889,317.69444444444446,28.444444444444443,3.5590277777777763,2.999305555555556,1182.0277777777778,0.0,0,0,1,0,0,0,0,0
2018,1,31,0,0,0,2,31,-1,4.410416666666665,139.91666666666666,2.5631944444444446,14.582638888888889,13.163888888888886,65.34722222222223,13.286805555555562,13.042361111111115,188.71527777777777,246.03472222222223,48.736111111111114,3.2701388888888907,2.7201388888888878,1181.763888888889,0.0,0,0,1,0,0,0,0,0
2018,2,1,0,0,0,3,32,-1,4.271527777777777,193.02083333333334,2.6472222222222213,12.24791666666667,13.267361111111114,60.333333333333336,13.385416666666668,13.134722222222228,193.40277777777777,258.375,47.5625,3.30763888888889,2.7895833333333333,1181.486111111111,0.0,0,0,0,0,1,0,0,0
