,,,,,,,,,TD,RH,RH_1,RH_2,Grad,Grad_1,Grad_3,Grad_2,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmin_1,TDmax_1,TD_1,TDmax,TDmin
2018,2,9,0,0,0,4,40,-1,20.076388888888893,26.78472222222222,32.53472222222222,33.729166666666664,195.30555555555554,160.44444444444446,164.125,189.56944444444446,18.808333333333337,18.618055555555557,18.4451388888889,18.674999999999994,18.532638888888883,18.377777777777773,18.509722222222226,18.818750000000005,18.66388888888889,20.306250000000002,19.841666666666665
2018,2,10,0,0,0,5,41,-1,20.861805555555556,34.229166666666664,26.78472222222222,32.53472222222222,166.04166666666666,195.30555555555554,189.56944444444446,160.44444444444446,18.674999999999994,18.532638888888883,18.377777777777773,18.818750000000005,18.66388888888889,18.509722222222226,19.841666666666665,20.306250000000002,20.076388888888893,21.040277777777785,20.684722222222227
2018,2,11,0,0,0,6,42,-1,24.13680555555556,30.79861111111111,34.229166666666664,26.78472222222222,166.10416666666666,166.04166666666666,160.44444444444446,195.30555555555554,18.818750000000005,18.66388888888889,18.509722222222226,20.306250000000002,20.076388888888893,19.841666666666665,20.684722222222227,21.040277777777785,20.861805555555556,24.30972222222222,23.957638888888894
2018,2,12,0,0,0,0,43,-1,19.7992857142857,61.5,30.79861111111111,34.229166666666664,106.86428571428571,166.10416666666666,195.30555555555554,166.04166666666666,20.306250000000002,20.076388888888893,19.841666666666665,21.040277777777785,20.861805555555556,20.684722222222227,23.957638888888894,24.30972222222222,24.13680555555556,19.888571428571424,19.705000000000005
2018,2,13,0,0,0,1,44,-1,16.295138888888886,67.10416666666667,61.5,30.79861111111111,170.4375,106.86428571428571,166.04166666666666,166.10416666666666,21.040277777777785,20.861805555555556,20.684722222222227,24.30972222222222,24.13680555555556,23.957638888888894,19.705000000000005,19.888571428571424,19.7992857142857,16.400694444444444,16.18958333333333
2018,2,14,0,0,0,2,45,-1,15.263888888888882,60.263888888888886,67.10416666666667,61.5,218.09027777777777,170.4375,166.10416666666666,106.86428571428571,24.30972222222222,24.13680555555556,23.957638888888894,19.888571428571424,19.7992857142857,19.705000000000005,16.18958333333333,16.400694444444444,16.295138888888886,15.39097222222222,15.138194444444443
2018,2,15,0,0,0,3,46,-1,17.055555555555557,53.111111111111114,60.263888888888886,67.10416666666667,149.28472222222223,218.09027777777777,106.86428571428571,170.4375,19.888571428571424,19.7992857142857,19.705000000000005,16.400694444444444,16.295138888888886,16.18958333333333,15.138194444444443,15.39097222222222,15.263888888888882,17.198611111111124,16.915277777777803
2018,2,16,0,0,0,4,47,-1,17.404861111111106,59.0625,53.111111111111114,60.263888888888886,182.41666666666666,149.28472222222223,170.4375,218.09027777777777,16.400694444444444,16.295138888888886,16.18958333333333,15.39097222222222,15.263888888888882,15.138194444444443,16.915277777777803,17.198611111111124,17.055555555555557,17.574305555555558,17.222222222222232
2018,2,17,0,0,0,5,48,-1,16.31041666666666,47.111111111111114,59.0625,53.111111111111114,169.51388888888889,182.41666666666666,218.09027777777777,149.28472222222223,15.39097222222222,15.263888888888882,15.138194444444443,17.198611111111124,17.055555555555557,16.915277777777803,17.222222222222232,17.574305555555558,17.404861111111106,16.49166666666666,16.149305555555554
2018,2,18,0,0,0,6,49,-1,16.14375,46.923611111111114,47.111111111111114,59.0625,190.95138888888889,169.51388888888889,149.28472222222223,182.41666666666666,17.198611111111124,17.055555555555557,16.915277777777803,17.574305555555558,17.404861111111106,17.222222222222232,16.149305555555554,16.49166666666666,16.31041666666666,16.35208333333333,15.957638888888884
