,,,,,,,,,TD,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TDmin_1,TD_1,TDmin,TDmax
2018,2,4,0,0,0,6,35,-1,14.519444444444442,13.645138888888885,13.497916666666676,13.331944444444444,14.570833333333335,14.37083333333333,14.17291666666666,14.104861111111115,13.559027777777779,13.829861111111114,14.209027777777777,14.83333333333334
2018,2,5,0,0,0,0,36,-1,14.933333333333334,14.570833333333335,14.37083333333333,14.17291666666666,14.104861111111115,13.829861111111114,13.559027777777779,14.83333333333334,14.209027777777777,14.519444444444442,14.697222222222214,15.180555555555564
2018,2,6,0,0,0,1,37,-1,15.568055555555553,14.104861111111115,13.829861111111114,13.559027777777779,14.83333333333334,14.519444444444442,14.209027777777777,15.180555555555564,14.697222222222214,14.933333333333334,15.351388888888884,15.788888888888883
2018,2,7,0,0,0,2,38,-1,16.06319444444444,14.83333333333334,14.519444444444442,14.209027777777777,15.180555555555564,14.933333333333334,14.697222222222214,15.788888888888883,15.351388888888884,15.568055555555553,15.78472222222222,16.347222222222214
2018,2,8,0,0,0,3,39,-1,17.80416666666666,15.180555555555564,14.933333333333334,14.697222222222214,15.788888888888883,15.568055555555553,15.351388888888884,16.347222222222214,15.78472222222222,16.06319444444444,17.580555555555552,18.03124999999999
2018,2,9,0,0,0,4,40,-1,16.389583333333334,15.788888888888883,15.568055555555553,15.351388888888884,16.347222222222214,16.06319444444444,15.78472222222222,18.03124999999999,17.580555555555552,17.80416666666666,16.140972222222217,16.65277777777777
2018,2,10,0,0,0,5,41,-1,18.229861111111113,16.347222222222214,16.06319444444444,15.78472222222222,18.03124999999999,17.80416666666666,17.580555555555552,16.65277777777777,16.140972222222217,16.389583333333334,17.991666666666678,18.468055555555573
2018,2,11,0,0,0,6,42,-1,19.465734265734262,18.03124999999999,17.80416666666666,17.580555555555552,16.65277777777777,16.389583333333334,16.140972222222217,18.468055555555573,17.991666666666678,18.229861111111113,19.293706293706293,19.64195804195804
2018,2,12,0,0,0,0,43,-1,13.465000000000003,16.65277777777777,16.389583333333334,16.140972222222217,18.468055555555573,18.229861111111113,17.991666666666678,19.64195804195804,19.293706293706293,19.465734265734262,13.38000000000001,13.55785714285714
2018,2,13,0,0,0,1,44,-1,10.906944444444449,18.468055555555573,18.229861111111113,17.991666666666678,19.64195804195804,19.465734265734262,19.293706293706293,13.55785714285714,13.38000000000001,13.465000000000003,10.827777777777783,10.991666666666674
2018,2,14,0,0,0,2,45,-1,11.328472222222217,19.64195804195804,19.465734265734262,19.293706293706293,13.55785714285714,13.465000000000003,13.38000000000001,10.991666666666674,10.827777777777783,10.906944444444449,11.168055555555558,11.490972222222219
2018,2,15,0,0,0,3,46,-1,14.164583333333342,13.55785714285714,13.465000000000003,13.38000000000001,10.991666666666674,10.906944444444449,10.827777777777783,11.490972222222219,11.168055555555558,11.328472222222217,14.081250000000002,14.263888888888886
2018,2,16,0,0,0,4,47,-1,14.079166666666671,10.991666666666674,10.906944444444449,10.827777777777783,11.490972222222219,11.328472222222217,11.168055555555558,14.263888888888886,14.081250000000002,14.164583333333342,13.970833333333333,14.193749999999989
2018,2,17,0,0,0,5,48,-1,9.434027777777779,11.490972222222219,11.328472222222217,11.168055555555558,14.263888888888886,14.164583333333342,14.081250000000002,14.193749999999989,13.970833333333333,14.079166666666671,9.356250000000003,9.50902777777777
2018,2,18,0,0,0,6,49,-1,12.17430555555556,14.263888888888886,14.164583333333342,14.081250000000002,14.193749999999989,14.079166666666671,13.970833333333333,9.50902777777777,9.356250000000003,9.434027777777779,12.102083333333333,12.254861111111113
2018,2,19,0,0,0,0,50,-1,12.084722222222224,14.193749999999989,14.079166666666671,13.970833333333333,9.50902777777777,9.434027777777779,9.356250000000003,12.254861111111113,12.102083333333333,12.17430555555556,11.951388888888884,12.233333333333327
2018,2,20,0,0,0,1,51,-1,13.330555555555554,9.50902777777777,9.434027777777779,9.356250000000003,12.254861111111113,12.17430555555556,12.102083333333333,12.233333333333327,11.951388888888884,12.084722222222224,13.137499999999992,13.515972222222219
2018,2,21,0,0,0,2,52,-1,13.314583333333335,12.254861111111113,12.17430555555556,12.102083333333333,12.233333333333327,12.084722222222224,11.951388888888884,13.515972222222219,13.137499999999992,13.330555555555554,13.138194444444443,13.499305555555555
2018,2,22,0,0,0,3,53,-1,12.341666666666665,12.233333333333327,12.084722222222224,11.951388888888884,13.515972222222219,13.330555555555554,13.137499999999992,13.499305555555555,13.138194444444443,13.314583333333335,12.21388888888889,12.479166666666664
2018,2,23,0,0,0,4,54,-1,13.090972222222222,13.515972222222219,13.330555555555554,13.137499999999992,13.499305555555555,13.314583333333335,13.138194444444443,12.479166666666664,12.21388888888889,12.341666666666665,12.97013888888889,13.218055555555559
2018,2,24,0,0,0,5,55,-1,12.380555555555551,13.499305555555555,13.314583333333335,13.138194444444443,12.479166666666664,12.341666666666665,12.21388888888889,13.218055555555559,12.97013888888889,13.090972222222222,12.192361111111108,12.581250000000004
2018,2,25,0,0,0,6,56,-1,12.42777777777777,12.479166666666664,12.341666666666665,12.21388888888889,13.218055555555559,13.090972222222222,12.97013888888889,12.581250000000004,12.192361111111108,12.380555555555551,12.302083333333336,12.556944444444445
2018,2,26,0,0,0,0,57,-1,12.270833333333323,13.218055555555559,13.090972222222222,12.97013888888889,12.581250000000004,12.380555555555551,12.192361111111108,12.556944444444445,12.302083333333336,12.42777777777777,12.143055555555554,12.400694444444454
2018,2,27,0,0,0,1,58,-1,11.951388888888882,12.581250000000004,12.380555555555551,12.192361111111108,12.556944444444445,12.42777777777777,12.302083333333336,12.400694444444454,12.143055555555554,12.270833333333323,11.765972222222222,12.153472222222225
2018,2,28,0,0,0,2,59,-1,12.545138888888888,12.556944444444445,12.42777777777777,12.302083333333336,12.400694444444454,12.270833333333323,12.143055555555554,12.153472222222225,11.765972222222222,11.951388888888882,12.35138888888889,12.737499999999997
2018,3,1,0,0,0,3,60,-1,13.344444444444443,12.400694444444454,12.270833333333323,12.143055555555554,12.153472222222225,11.951388888888882,11.765972222222222,12.737499999999997,12.35138888888889,12.545138888888888,13.072916666666664,13.614583333333334
2018,3,2,0,0,0,4,61,-1,14.524305555555555,12.153472222222225,11.951388888888882,11.765972222222222,12.737499999999997,12.545138888888888,12.35138888888889,13.614583333333334,13.072916666666664,13.344444444444443,14.315972222222221,14.720833333333328
2018,3,3,0,0,0,5,62,-1,16.709722222222226,12.737499999999997,12.545138888888888,12.35138888888889,13.614583333333334,13.344444444444443,13.072916666666664,14.720833333333328,14.315972222222221,14.524305555555555,16.522916666666667,16.89027777777778
2018,3,4,0,0,0,6,63,-1,17.945833333333336,13.614583333333334,13.344444444444443,13.072916666666664,14.720833333333328,14.524305555555555,14.315972222222221,16.89027777777778,16.522916666666667,16.709722222222226,17.76388888888889,18.117361111111116
2018,3,5,0,0,0,0,64,-1,18.65,14.720833333333328,14.524305555555555,14.315972222222221,16.89027777777778,16.709722222222226,16.522916666666667,18.117361111111116,17.76388888888889,17.945833333333336,18.433333333333337,18.86458333333333
2018,3,6,0,0,0,1,65,-1,17.075000000000003,16.89027777777778,16.709722222222226,16.522916666666667,18.117361111111116,17.945833333333336,17.76388888888889,18.86458333333333,18.433333333333337,18.65,16.91736111111111,17.24097222222223
2018,3,7,0,0,0,2,66,-1,15.247916666666676,18.117361111111116,17.945833333333336,17.76388888888889,18.86458333333333,18.65,18.433333333333337,17.24097222222223,16.91736111111111,17.075000000000003,15.09652777777777,15.418055555555558
2018,3,8,0,0,0,3,67,-1,17.90694444444445,18.86458333333333,18.65,18.433333333333337,17.24097222222223,17.075000000000003,16.91736111111111,15.418055555555558,15.09652777777777,15.247916666666676,17.740277777777777,18.075000000000006
2018,3,9,0,0,0,4,68,-1,14.137499999999996,17.24097222222223,17.075000000000003,16.91736111111111,15.418055555555558,15.247916666666676,15.09652777777777,18.075000000000006,17.740277777777777,17.90694444444445,14.053472222222222,14.222222222222225
2018,3,10,0,0,0,5,69,-1,12.927777777777782,15.418055555555558,15.247916666666676,15.09652777777777,18.075000000000006,17.90694444444445,17.740277777777777,14.222222222222225,14.053472222222222,14.137499999999996,12.781944444444438,13.078472222222214
2018,3,11,0,0,0,6,70,-1,13.81944444444445,18.075000000000006,17.90694444444445,17.740277777777777,14.222222222222225,14.137499999999996,14.053472222222222,13.078472222222214,12.781944444444438,12.927777777777782,13.677083333333332,13.962499999999999
2018,3,12,0,0,0,0,71,-1,13.949305555555549,14.222222222222225,14.137499999999996,14.053472222222222,13.078472222222214,12.927777777777782,12.781944444444438,13.962499999999999,13.677083333333332,13.81944444444445,13.78611111111111,14.10486111111111
2018,3,13,0,0,0,1,72,-1,13.47013888888889,13.078472222222214,12.927777777777782,12.781944444444438,13.962499999999999,13.81944444444445,13.677083333333332,14.10486111111111,13.78611111111111,13.949305555555549,13.262500000000001,13.677083333333332
2018,3,14,0,0,0,2,73,-1,14.69652777777778,13.962499999999999,13.81944444444445,13.677083333333332,14.10486111111111,13.949305555555549,13.78611111111111,13.677083333333332,13.262500000000001,13.47013888888889,14.477777777777773,14.930555555555552
2018,3,15,0,0,0,3,74,-1,12.556249999999999,14.10486111111111,13.949305555555549,13.78611111111111,13.677083333333332,13.47013888888889,13.262500000000001,14.930555555555552,14.477777777777773,14.69652777777778,12.348611111111117,12.76875
2018,3,16,0,0,0,4,75,-1,12.799999999999997,13.677083333333332,13.47013888888889,13.262500000000001,14.930555555555552,14.69652777777778,14.477777777777773,12.76875,12.348611111111117,12.556249999999999,12.613888888888878,12.993749999999997
2018,3,17,0,0,0,5,76,-1,12.893055555555554,14.930555555555552,14.69652777777778,14.477777777777773,12.76875,12.556249999999999,12.348611111111117,12.993749999999997,12.613888888888878,12.799999999999997,12.681249999999997,13.096527777777775
2018,3,18,0,0,0,6,77,-1,19.351388888888895,12.76875,12.556249999999999,12.348611111111117,12.993749999999997,12.799999999999997,12.613888888888878,13.096527777777775,12.681249999999997,12.893055555555554,19.11805555555556,19.588194444444454
2018,3,19,0,0,0,0,78,-1,21.76319444444444,12.993749999999997,12.799999999999997,12.613888888888878,13.096527777777775,12.893055555555554,12.681249999999997,19.588194444444454,19.11805555555556,19.351388888888895,21.52291666666666,21.997916666666676
2018,3,20,0,0,0,1,79,-1,16.63958333333334,13.096527777777775,12.893055555555554,12.681249999999997,19.588194444444454,19.351388888888895,19.11805555555556,21.997916666666676,21.52291666666666,21.76319444444444,16.44097222222222,16.84652777777778
2018,3,21,0,0,0,2,80,-1,16.510416666666664,19.588194444444454,19.351388888888895,19.11805555555556,21.997916666666676,21.76319444444444,21.52291666666666,16.84652777777778,16.44097222222222,16.63958333333334,16.275694444444447,16.729861111111113
2018,3,22,0,0,0,3,81,-1,20.91111111111111,21.997916666666676,21.76319444444444,21.52291666666666,16.84652777777778,16.63958333333334,16.44097222222222,16.729861111111113,16.275694444444447,16.510416666666664,20.651388888888874,21.181944444444447
2018,3,23,0,0,0,4,82,-1,24.85000000000001,16.84652777777778,16.63958333333334,16.44097222222222,16.729861111111113,16.510416666666664,16.275694444444447,21.181944444444447,20.651388888888874,20.91111111111111,24.64305555555556,25.05833333333334
