,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-03-21,2.9166666666666665,188.8125,1.6194444444444447,18.806250000000002,14.044444444444444,85.48611111111111,14.203472222222224,13.87638888888889,,,,2.333333333333335,1.8166666666666673,1181.625,0.0,0,0,1,0,0,0,0,0
2019-03-22,2.6944444444444455,201.57638888888889,1.4270833333333344,20.59722222222222,13.247222222222218,83.36111111111111,13.431249999999999,13.05763888888889,,,,2.1305555555555573,1.6312500000000003,1165.923611111111,0.0,0,0,1,0,0,0,0,0
2019-03-23,2.39375,179.96527777777777,1.248611111111111,24.879861111111136,13.600000000000001,86.54861111111111,13.754166666666666,13.440277777777782,,,,1.9527777777777788,1.4409722222222223,1166.6180555555557,0.0,1,0,0,0,0,0,0,0
2019-03-24,2.9527777777777775,190.76388888888889,1.5861111111111112,25.115972222222226,12.752083333333333,89.04166666666667,12.91111111111111,12.595833333333337,,,,2.364583333333333,1.8347222222222217,1181.5625,0.001388888888888889,0,0,1,0,0,0,0,0
2019-03-25,3.9243055555555575,181.98611111111111,2.122916666666667,18.72361111111113,8.647222222222226,94.30555555555556,8.790972222222216,8.516666666666667,,,,3.0999999999999996,2.4145833333333315,1182.9930555555557,0.12986111111111115,0,0,1,0,0,0,0,0
2019-03-26,3.447222222222223,191.56944444444446,1.9256944444444453,16.406249999999993,11.079166666666664,80.0625,11.259722222222225,10.882638888888888,,,,2.764583333333333,2.1416666666666675,1166.2291666666667,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-03-27,3.791666666666669,191.30555555555554,2.165277777777778,16.2576388888889,12.435416666666665,83.33333333333333,12.659722222222221,12.209027777777775,,,,3.0145833333333347,2.4055555555555546,1181.263888888889,0.0,0,0,1,0,0,0,0,0
2019-03-28,2.934027777777778,173.9375,1.534722222222222,21.43680555555555,13.345138888888883,77.22222222222223,13.536805555555556,13.156250000000007,,,,2.3798611111111105,1.7749999999999997,1182.5694444444443,0.0,1,0,0,0,0,0,0,0
2019-03-29,3.7395833333333317,119.89583333333333,2.1284722222222223,26.25664335664336,15.02222222222222,69.73611111111111,15.163888888888884,14.877083333333331,,,,3.034722222222223,2.405555555555555,1181.8958333333333,0.004166666666666667,1,0,0,0,0,0,0,0
2019-03-30,6.525694444444449,210.15972222222223,3.403472222222223,22.422222222222214,13.48402777777778,80.61805555555556,13.670138888888884,13.304166666666665,,,,4.8500000000000005,3.740277777777777,1183.4652777777778,0.01805555555555556,0,0,1,0,0,0,0,0
2019-03-31,5.184027777777779,229.95138888888889,2.7361111111111103,19.10555555555556,11.084722222222224,90.00694444444444,11.222222222222223,10.955555555555557,,,,3.943055555555555,3.0361111111111105,1182.361111111111,0.09444444444444447,0,0,1,0,0,0,0,0
2019-04-01,4.089583333333334,208.93055555555554,2.154166666666667,18.12916666666667,11.259027777777773,86.94444444444444,11.391666666666667,11.135416666666664,,,,3.128472222222221,2.4013888888888886,1182.2222222222222,0.050694444444444445,0,0,1,0,0,0,0,0
2019-04-02,3.1291666666666647,188.04861111111111,1.6812499999999992,19.464583333333337,12.011111111111108,78.57638888888889,12.236805555555557,11.808333333333334,,,,2.4840277777777784,1.9069444444444439,1183.0416666666667,0.0,0,0,1,0,0,0,0,0
2019-04-03,2.7194444444444437,189.61111111111111,1.4243055555555557,21.114583333333332,12.46111111111111,75.10416666666667,12.661805555555553,12.244444444444445,,,,2.167361111111111,1.6506944444444436,1182.0416666666667,0.0,0,0,1,0,0,0,0,0
2019-04-04,2.6006944444444438,205.14583333333334,1.3374999999999997,23.600694444444432,13.67222222222222,79.84722222222223,13.84791666666667,13.502083333333324,,,,2.0812499999999994,1.5583333333333333,1183.2430555555557,0.0,0,0,1,0,0,0,0,0
2019-04-05,2.834722222222222,195.77083333333334,1.4423611111111116,22.78333333333334,13.497222222222224,80.83333333333333,13.714583333333334,13.277777777777779,,,,2.2,1.659027777777778,1183.4652777777778,0.0,0,0,1,0,0,0,0,0
2019-04-06,2.3250000000000006,137.25,1.1374999999999995,26.395138888888884,15.274999999999999,73.09027777777777,15.493750000000002,15.061805555555553,,,,1.897916666666666,1.3861111111111104,1181.7708333333333,0.0,1,0,0,0,0,0,0,0
2019-04-07,3.6256944444444446,178.59722222222223,2.065277777777778,16.265972222222217,18.371527777777782,68.47222222222223,18.553472222222226,18.196527777777778,,,,2.850694444444444,2.2666666666666684,1182.0555555555557,0.0,1,0,0,0,0,0,0,0
2019-04-08,2.8999999999999995,199.78472222222223,1.552083333333333,19.55625,16.76736111111111,76.14583333333333,16.949305555555554,16.59166666666667,,,,2.3298611111111125,1.7597222222222215,1182.625,0.0,0,0,1,0,0,0,0,0
2019-04-09,3.722916666666667,221.69444444444446,2.0541666666666685,17.286805555555553,16.47222222222222,75.75694444444444,16.64513888888888,16.29375,,,,2.927083333333334,2.27013888888889,1165.9166666666667,0.0,0,0,1,0,0,0,0,0
2019-04-10,2.8000000000000007,207.97222222222223,1.4138888888888885,23.348611111111115,13.804861111111117,76.73611111111111,14.06319444444445,13.582638888888885,,,,2.186805555555555,1.6305555555555555,1165.7152777777778,0.0,0,0,1,0,0,0,0,0
2019-04-11,3.4173611111111106,200.73611111111111,1.7375000000000003,23.61944444444444,13.004861111111115,73.97916666666667,13.210416666666665,12.797916666666666,,,,2.625694444444444,1.9493055555555538,1165.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-04-12,3.0548611111111104,198.88194444444446,1.5395833333333333,23.070138888888895,14.470138888888888,74.79166666666667,14.672916666666667,14.249305555555559,,,,2.3812499999999996,1.790972222222222,1182.2430555555557,0.0,0,0,1,0,0,0,0,0
2019-04-13,3.748611111111111,148.59027777777777,2.0812500000000003,20.474305555555546,18.800694444444435,61.583333333333336,19.04791666666667,18.546527777777776,,,,2.9583333333333326,2.3284722222222216,1182.1527777777778,0.0,1,0,0,0,0,0,0,0
2019-04-14,4.979166666666668,206.27777777777777,2.6618055555555578,19.41944444444445,18.0375,59.895833333333336,18.26458333333334,17.830555555555563,,,,3.7458333333333322,2.9062500000000018,1182.0347222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,2.8888888888888875,173.38888888888889,1.565277777777778,22.129166666666666,14.371527777777779,82.61805555555556,14.512499999999996,14.23611111111111,,,,2.314583333333333,1.8048611111111117,1181.8472222222222,0.014583333333333334,1,0,0,0,0,0,0,0
