,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,East,South,North
2019-04-21,5.452777777777779,265.5208333333333,2.9486111111111115,19.571527777777778,17.131944444444443,42.22222222222222,17.327777777777783,16.948611111111106,275.5763888888889,192.58333333333334,123.81944444444444,4.194444444444446,3.247222222222222,1166.3958333333333,0.0,0,0,1,0,0,0,0,0
2019-04-22,3.761111111111112,155.67361111111111,1.9847222222222216,25.00625000000001,16.37361111111111,40.388888888888886,16.600694444444446,16.139583333333334,332.375,371.19444444444446,52.611111111111114,2.9430555555555555,2.2145833333333322,1165.6805555555557,0.0,0,1,0,0,0,0,0,0
2019-04-23,5.505555555555556,106.78472222222223,3.222916666666666,15.779861111111115,18.377083333333335,33.75694444444444,18.540972222222223,18.213194444444447,297.3333333333333,193.02083333333334,127.36805555555556,4.125694444444445,3.415277777777779,1180.8472222222222,0.0,0,1,0,0,0,0,0,0
2019-04-24,7.885416666666667,54.50694444444444,4.657638888888892,16.251388888888894,22.036111111111108,36.423611111111114,22.187499999999993,21.884722222222212,319.25694444444446,264.19444444444446,98.0,5.853472222222222,4.887499999999999,1181.611111111111,0.0,1,0,0,0,0,0,0,0
2019-04-25,6.639583333333337,46.048611111111114,3.7659722222222234,16.801388888888884,24.231250000000003,29.145833333333332,24.385416666666668,24.06527777777777,314.6458333333333,244.24305555555554,104.43055555555556,4.82638888888889,3.9722222222222237,1165.25,0.0,1,0,0,0,0,0,0,0
2019-04-26,6.747222222222225,71.76388888888889,3.831249999999999,16.46597222222222,25.725694444444446,25.65972222222222,25.880555555555553,25.56527777777778,328.63194444444446,320.18055555555554,73.33333333333333,4.876388888888889,4.040277777777778,1183.3333333333333,0.0,1,0,0,0,0,0,0,0
2019-04-27,6.339583333333333,78.84027777777777,3.5395833333333333,16.71319444444445,26.534027777777776,25.61111111111111,26.72222222222224,26.34097222222222,328.38194444444446,328.00694444444446,69.76388888888889,4.659722222222224,3.789583333333335,1180.9375,0.0,1,0,0,0,0,0,0,0
2019-04-28,4.166666666666668,65.15972222222223,2.427083333333333,16.99930555555556,25.69583333333334,23.868055555555557,25.91944444444444,25.477777777777778,341.375,385.09090909090907,49.59027777777778,3.2340277777777784,2.591666666666666,1181.486111111111,0.0,1,0,0,0,0,0,0,0
2019-04-29,3.088888888888889,149.66666666666666,1.7437500000000001,23.87986111111112,28.005555555555553,22.32638888888889,28.264583333333327,27.739583333333332,314.6388888888889,221.77777777777777,111.91666666666667,2.4958333333333336,1.9805555555555554,1181.8958333333333,0.0,0,1,0,0,0,0,0,0
2019-04-30,4.37013888888889,92.75694444444444,2.559027777777778,17.279166666666672,29.21875,16.833333333333332,29.427083333333332,29.015277777777783,308.65277777777777,204.09722222222223,123.1875,3.4097222222222228,2.747222222222222,1182.6527777777778,0.0,0,1,0,0,0,0,0,0
2019-05-01,3.713986013986015,137.85314685314685,2.0104895104895113,20.207692307692312,29.342657342657354,22.825174825174827,29.56153846153846,29.118181818181835,303.34965034965035,180.88028169014083,128.3846153846154,2.8055944055944075,2.2181818181818187,1179.3636363636363,0.0,0,1,0,0,0,0,0,0
2019-05-02,5.029861111111111,130.86111111111111,2.8840277777777774,16.509722222222226,30.788194444444464,19.15972222222222,31.00694444444444,30.57013888888889,292.71527777777777,141.50694444444446,144.75,3.867361111111111,3.105555555555556,1164.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-05-03,6.193055555555553,160.84027777777777,3.4812500000000006,19.28750000000001,27.221527777777784,29.21527777777778,27.444444444444443,27.012499999999996,276.74305555555554,150.54166666666666,130.20833333333334,4.686111111111111,3.7618055555555583,1181.513888888889,0.0,0,1,0,0,0,0,0,0
2019-05-04,5.817361111111108,63.59027777777778,3.3604166666666657,16.41875,22.46597222222222,30.895833333333332,22.64930555555557,22.27986111111113,344.8333333333333,359.84027777777777,61.104166666666664,4.328472222222222,3.5500000000000003,1165.1805555555557,0.0,1,0,0,0,0,0,0,0
2019-05-05,5.416666666666666,97.8125,3.08888888888889,17.136805555555565,26.03055555555557,35.0625,26.21319444444445,25.847916666666666,307.5208333333333,245.55244755244755,104.1875,4.010416666666664,3.303472222222222,1182.638888888889,0.0,1,0,0,0,0,0,0,0
2019-05-06,5.000694444444445,158.88194444444446,2.752777777777778,21.08888888888889,30.159027777777794,15.680555555555555,30.413888888888877,29.91111111111111,288.93055555555554,202.79166666666666,100.68055555555556,3.708333333333334,2.9944444444444436,1166.0347222222222,0.0,0,1,0,0,0,0,0,0
2019-05-07,6.231944444444445,114.97222222222223,3.4493055555555547,17.536805555555546,25.354166666666668,34.15972222222222,25.52777777777779,25.19930555555556,256.8125,107.94444444444444,147.52777777777777,4.636111111111109,3.697916666666666,1164.9375,0.0,0,1,0,0,0,0,0,0
2019-05-08,5.159027777777779,89.29861111111111,2.7965277777777775,17.74027777777778,21.974305555555556,32.951388888888886,22.15555555555555,21.790972222222223,348.3888888888889,392.65034965034965,55.541666666666664,3.783333333333333,3.0333333333333345,1182.548611111111,0.0,1,0,0,0,0,0,0,0
2019-05-09,4.8611510791366905,114.24460431654676,2.6690647482014382,22.29352517985612,21.01294964028778,40.388489208633096,21.20935251798562,20.83093525179856,355.57553956834533,377.8345323741007,67.20143884892086,3.6928057553956863,2.91798561151079,1157.2661870503598,0.0,0,1,0,0,0,0,0,0
2019-05-10,4.574999999999999,93.22222222222223,2.5347222222222228,18.613888888888894,21.615972222222226,33.958333333333336,21.79722222222223,21.448611111111113,356.2986111111111,436.5486111111111,40.083333333333336,3.4298611111111104,2.7277777777777787,1182.9791666666667,0.0,0,1,0,0,0,0,0,0
2019-05-11,5.220833333333333,53.88194444444444,2.917361111111111,17.66250000000001,24.056250000000013,32.888888888888886,24.232638888888875,23.87986111111111,347.875,420.25694444444446,45.05555555555556,3.8826388888888874,3.1069444444444443,1183.2916666666667,0.0,1,0,0,0,0,0,0,0
2019-05-12,4.167361111111112,116.4375,2.436111111111112,16.113888888888884,27.02569444444443,20.354166666666668,27.226388888888902,26.832638888888898,348.69444444444446,419.95104895104896,42.84027777777778,3.208333333333335,2.597222222222222,1165.9375,0.0,0,1,0,0,0,0,0,0
2019-05-13,4.622916666666666,91.65972222222223,2.602083333333334,16.631944444444443,29.573611111111113,20.71527777777778,29.78194444444445,29.36319444444443,347.21527777777777,412.8333333333333,44.986111111111114,3.4604166666666667,2.761805555555556,1183.1319444444443,0.0,0,1,0,0,0,0,0,0
2019-05-14,4.792361111111112,82.34027777777777,2.7180555555555554,15.996527777777779,30.66597222222222,17.40972222222222,30.870138888888896,30.454166666666666,348.65277777777777,393.2638888888889,52.145833333333336,3.569444444444446,2.8986111111111117,1164.7777777777778,0.0,1,0,0,0,0,0,0,0
2019-05-15,3.7180555555555554,133.92361111111111,2.1187500000000004,22.988888888888887,31.95902777777778,13.881944444444445,32.2027777777778,31.72291666666668,346.0138888888889,383.006993006993,52.826388888888886,2.9291666666666663,2.333333333333333,1182.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-05-16,4.77638888888889,140.44444444444446,2.672916666666666,21.77708333333334,32.94097222222222,16.756944444444443,33.171527777777776,32.72152777777778,335.4791666666667,314.86805555555554,80.54166666666667,3.6423611111111103,2.895138888888889,1166.875,0.0,0,1,0,0,0,0,0,0
2019-05-17,5.136805555555557,161.71527777777777,2.8187499999999988,20.181944444444444,31.335416666666674,22.645833333333332,31.58194444444444,31.110416666666676,314.6041666666667,219.21527777777777,117.08333333333333,3.853472222222222,3.090277777777777,1181.7569444444443,0.0,0,0,0,1,0,0,0,0
2019-05-18,5.127083333333335,120.67361111111111,2.7763888888888886,19.38680555555555,28.358333333333338,23.54861111111111,28.52569444444445,28.17569444444444,348.50694444444446,336.80555555555554,79.20833333333333,3.8013888888888863,2.999305555555555,1165.0416666666667,0.0,0,1,0,0,0,0,0,0
2019-05-19,5.1916666666666655,98.3125,2.8868055555555556,16.871527777777782,28.113194444444446,20.75,28.309027777777786,27.909027777777776,351.875,382.82394366197184,57.395833333333336,3.809027777777777,3.0722222222222237,1181.5347222222222,0.0,0,1,0,0,0,0,0,0
2019-05-20,5.823611111111111,55.895833333333336,3.281250000000001,16.76805555555556,27.627777777777787,30.194444444444443,27.786805555555556,27.477777777777778,350.74305555555554,386.1048951048951,53.486111111111114,4.313194444444446,3.4604166666666667,1181.9166666666667,0.0,1,0,0,0,0,0,0,0
2019-05-21,5.4305555555555545,107.26388888888889,3.0805555555555557,16.95277777777778,31.317361111111115,25.645833333333332,31.513194444444448,31.12777777777778,344.7986111111111,358.40277777777777,62.52777777777778,4.011805555555556,3.2743055555555554,1182.3958333333333,0.0,0,1,0,0,0,0,0,0
2019-05-22,4.73125,56.5625,2.510416666666666,19.042361111111106,33.458333333333336,16.6875,33.672916666666666,33.253472222222214,337.1111111111111,289.06944444444446,91.81944444444444,3.4138888888888896,2.699305555555555,1182.1458333333333,0.0,1,0,0,0,0,0,0,0
2019-05-23,3.9381944444444446,214.26388888888889,2.0652777777777787,26.156249999999986,35.138194444444444,13.1875,35.40625000000002,34.89027777777779,331.625,266.30281690140845,94.30555555555556,3.122916666666666,2.3833333333333324,1164.638888888889,0.0,0,0,0,1,0,0,0,0
2019-05-24,5.433333333333334,174.66666666666666,3.036805555555555,20.39097222222223,34.413888888888906,13.381944444444445,34.690277777777766,34.16597222222223,323.25,234.1875,109.39583333333333,4.065972222222222,3.3131944444444454,1165.423611111111,0.0,0,1,0,0,0,0,0,0
2019-05-25,5.783333333333332,104.93055555555556,3.1736111111111103,19.28472222222222,32.25902777777778,29.09722222222222,32.46666666666665,32.04583333333332,320.7916666666667,251.9375,98.09027777777777,4.259722222222223,3.3923611111111103,1182.9583333333333,0.0,0,1,0,0,0,0,0,0
2019-05-26,6.054861111111112,34.5,3.4034722222222213,17.522222222222226,29.64027777777779,27.791666666666668,29.802777777777774,29.493749999999995,317.4791666666667,211.4375,121.61805555555556,4.377777777777777,3.5791666666666675,1182.8125,0.0,1,0,0,0,0,0,0,0
2019-05-27,5.515277777777779,57.458333333333336,3.1006944444444438,17.706249999999997,29.435416666666665,30.9375,29.591666666666658,29.274305555555557,334.6666666666667,255.34027777777777,106.25,4.095833333333333,3.299999999999999,1182.0416666666667,0.0,1,0,0,0,0,0,0,0
2019-05-28,5.3791666666666655,88.23611111111111,3.031944444444444,17.495138888888885,30.122916666666665,25.90277777777778,30.288194444444443,29.96180555555555,343.81944444444446,309.6666666666667,87.95138888888889,3.9902777777777763,3.2104166666666676,1183.923611111111,0.0,0,1,0,0,0,0,0,0
2019-05-29,5.447222222222219,135.44444444444446,3.134722222222221,16.55972222222222,31.635416666666668,34.63194444444444,31.817361111111097,31.461805555555557,332.5416666666667,298.2307692307692,81.54861111111111,4.140277777777777,3.3402777777777772,1183.048611111111,0.0,0,1,0,0,0,0,0,0
2019-05-30,5.054166666666669,131.54861111111111,2.86388888888889,17.677083333333343,33.65416666666666,24.020833333333332,33.83402777777776,33.47013888888889,328.09722222222223,279.6083916083916,86.24305555555556,3.866666666666668,3.101388888888889,1183.3125,0.0,0,1,0,0,0,0,0,0
2019-05-31,5.177083333333334,158.59027777777777,2.895138888888888,17.549305555555556,33.85208333333332,22.63888888888889,34.031249999999986,33.667361111111134,326.5486111111111,277.2986111111111,91.89583333333333,3.915972222222222,3.1340277777777783,1166.8472222222222,0.0,0,1,0,0,0,0,0,0
2019-06-01,5.643750000000001,147.52083333333334,3.2083333333333335,16.01458333333333,32.523611111111116,21.03472222222222,32.71111111111113,32.35208333333333,332.34722222222223,294.9160839160839,89.52083333333333,4.231944444444447,3.4124999999999996,1181.5347222222222,0.0,0,1,0,0,0,0,0,0
2019-06-02,5.690140845070423,46.90845070422535,3.244366197183099,16.693661971830984,31.99225352112676,21.795774647887324,32.18169014084507,31.809154929577467,336.07042253521126,305.23571428571427,84.19718309859155,4.249295774647886,3.4443661971830983,1178.3309859154929,0.0,1,0,0,0,0,0,0,0
2019-06-03,5.584027777777781,66.61805555555556,3.2444444444444427,16.21944444444446,32.920833333333334,23.75,33.10902777777778,32.734722222222224,347.15277777777777,314.965034965035,87.4375,4.186111111111114,3.4312499999999986,1166.6319444444443,0.0,1,0,0,0,0,0,0,0
2019-06-04,6.13125,102.72222222222223,3.572222222222221,15.565277777777778,33.36180555555557,26.256944444444443,33.54166666666667,33.184722222222234,339.44444444444446,287.9020979020979,94.43055555555556,4.582638888888888,3.7833333333333337,1165.7430555555557,0.0,0,1,0,0,0,0,0,0
2019-06-05,5.860416666666663,102.13194444444444,3.3395833333333322,17.31180555555555,33.813888888888876,24.5625,33.98888888888889,33.64722222222221,321.4166666666667,225.34965034965035,114.78472222222223,4.363888888888887,3.570833333333333,1181.9097222222222,0.0,1,0,0,0,0,0,0,0
2019-06-06,5.6013888888888905,115.375,3.2090277777777785,17.71805555555555,34.34722222222222,23.40277777777778,34.54097222222222,34.16458333333335,304.375,209.5,110.44444444444444,4.279166666666665,3.47013888888889,1183.5902777777778,0.0,0,1,0,0,0,0,0,0
2019-06-07,6.6708333333333325,165.23611111111111,3.764583333333332,16.769444444444442,31.45625000000001,35.173611111111114,31.613194444444446,31.29513888888889,329.77777777777777,274.0921985815603,95.63194444444444,5.028472222222224,3.9833333333333334,1182.4722222222222,0.0,0,0,0,1,0,0,0,0
2019-06-08,5.17777777777778,193.875,2.7562499999999996,20.38472222222222,29.126388888888886,37.96527777777778,29.299999999999997,28.962499999999995,332.9375,286.7112676056338,91.9375,3.9020833333333322,3.011111111111111,1181.2916666666667,0.0,0,0,0,1,0,0,0,0
2019-06-09,3.303472222222223,120.68055555555556,1.7402777777777771,25.961111111111116,29.7402777777778,28.95138888888889,29.979861111111113,29.511111111111106,350.84027777777777,354.6241134751773,70.77777777777777,2.626388888888888,1.9736111111111103,1183.2222222222222,0.0,0,1,0,0,0,0,0,0
2019-06-10,3.5124999999999997,186.88194444444446,1.8500000000000003,25.829861111111107,30.919444444444437,26.90277777777778,31.13749999999999,30.71041666666666,347.75694444444446,366.8156028368794,63.666666666666664,2.7277777777777774,2.090972222222221,1181.375,0.0,0,0,0,1,0,0,0,0
2019-06-11,3.5699300699300696,182.6153846153846,1.8335664335664335,26.148251748251752,31.625174825174835,23.937062937062937,31.870629370629363,31.393706293706277,345.35664335664336,373.6357142857143,57.74125874125874,2.7671328671328665,2.0825174825174813,1180.7692307692307,0.0,0,0,0,1,0,0,0,0
2019-06-12,4.660416666666669,170.22222222222223,2.581250000000002,22.849999999999994,31.9673611111111,27.430555555555557,32.19652777777777,31.756944444444432,346.84027777777777,359.7588652482269,65.07638888888889,3.656944444444443,2.8611111111111125,1182.7222222222222,0.0,0,1,0,0,0,0,0,0
2019-06-13,4.594444444444445,135.8125,2.5048611111111105,20.31041666666667,28.98541666666667,37.49305555555556,29.18055555555555,28.820138888888874,353.81944444444446,395.0845070422535,55.05555555555556,3.5270833333333345,2.740972222222224,1182.0625,0.0,0,1,0,0,0,0,0,0
2019-06-14,4.350000000000001,139.39583333333334,2.3263888888888884,21.599999999999998,29.386805555555554,39.71527777777778,29.555555555555557,29.223611111111115,344.11805555555554,355.10714285714283,68.47222222222223,3.345833333333333,2.562500000000001,1181.4652777777778,0.0,0,1,0,0,0,0,0,0
2019-06-15,3.8472222222222223,153.19444444444446,2.075000000000001,23.920138888888886,30.731250000000003,35.25,30.928472222222222,30.552083333333332,342.05555555555554,132.17021276595744,69.42361111111111,3.0090277777777765,2.324305555555556,1164.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-06-16,4.563194444444444,168.50694444444446,2.389583333333333,22.54166666666668,31.145138888888887,34.604166666666664,31.33680555555556,30.956944444444446,329.8263888888889,389.92929292929296,77.69444444444444,3.4159722222222215,2.635416666666667,1182.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-06-17,5.043055555555556,188.16666666666666,2.752777777777778,19.920833333333334,32.44652777777778,31.305555555555557,32.65000000000001,32.238888888888894,330.9583333333333,280.2361111111111,101.00694444444444,3.903472222222224,3.0194444444444444,1180.6666666666667,0.0,0,0,0,1,0,0,0,0
2019-06-18,4.395833333333333,166.55555555555554,2.4319444444444454,20.98472222222223,31.570833333333333,29.73611111111111,31.759027777777767,31.40208333333332,342.30555555555554,351.49285714285713,67.84722222222223,3.4180555555555556,2.6388888888888893,1181.8819444444443,0.0,0,1,0,0,0,0,0,0
2019-06-19,4.2124999999999995,181.52083333333334,2.3201388888888883,23.381944444444443,31.863888888888898,28.28472222222222,32.07291666666665,31.661111111111104,342.43055555555554,340.2027972027972,71.22222222222223,3.278472222222223,2.568055555555555,1182.0416666666667,0.0,0,0,0,1,0,0,0,0
