,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,West,East,South
2019-06-04,6.136805555555555,159.83333333333334,4.294444444444444,13.786805555555555,28.8263888888889,31.520833333333332,29.04652777777779,28.623611111111117,,,,5.340972222222223,4.595138888888888,1164.7152777777778,0.0,0,1,0,0,0,0,0,0
2019-06-05,6.029861111111108,147.18055555555554,4.024999999999999,17.219444444444438,30.147222222222226,22.98611111111111,30.40694444444444,29.90625,,,,5.235416666666666,4.419444444444446,1181.9166666666667,0.0,0,1,0,0,0,0,0,0
2019-06-06,6.493055555555553,247.625,4.415972222222222,14.07569444444444,27.71111111111111,46.166666666666664,27.982638888888893,27.468055555555566,,,,5.645833333333333,4.809027777777777,1166.0694444444443,0.0,0,0,0,1,0,0,0,0
2019-06-07,8.062500000000002,251.54166666666666,5.838194444444443,12.942361111111111,25.047916666666666,61.75694444444444,25.250000000000014,24.8451388888889,,,,7.043055555555555,6.209027777777776,1181.7083333333333,0.0,0,0,0,1,0,0,0,0
2019-06-08,7.717361111111107,267.9166666666667,5.639583333333335,10.83541666666667,22.39097222222223,74.93055555555556,22.58541666666667,22.21805555555555,,,,6.759027777777778,5.892361111111111,1181.1527777777778,0.0,0,0,0,1,0,0,0,0
2019-06-09,6.003472222222219,265.2916666666667,4.197222222222222,11.306249999999993,23.092361111111114,62.52777777777778,23.30416666666666,22.888194444444448,,,,5.1937500000000005,4.418055555555555,1182.0902777777778,0.0,0,0,0,1,0,0,0,0
2019-06-10,6.117361111111109,260.0138888888889,3.9534722222222203,12.316666666666658,26.19722222222223,30.38888888888889,26.41875,25.998611111111117,,,,5.172916666666667,4.30972222222222,1182.326388888889,0.0,0,0,0,1,0,0,0,0
2019-06-11,6.013286713286715,215.3006993006993,3.948951048951051,11.562237762237762,28.396503496503488,23.384615384615383,28.67552447552449,28.14195804195804,,,,5.197902097902098,4.302097902097902,1184.5174825174824,0.0,0,0,0,1,0,0,0,0
2019-06-12,8.13819444444444,271.6111111111111,5.8694444444444445,9.411805555555553,24.537500000000005,57.59027777777778,24.775000000000006,24.33055555555556,,,,7.087500000000002,6.170833333333332,1183.125,0.0,0,0,0,1,0,0,0,0
2019-06-13,6.374305555555554,281.8611111111111,4.375694444444443,10.34791666666667,22.06875,68.40277777777777,22.293055555555554,21.860416666666666,,,,5.550694444444446,4.677083333333332,1182.0972222222222,0.0,0,0,1,0,0,0,0,0
2019-06-14,4.403472222222224,256.2361111111111,2.8173611111111097,13.97847222222223,22.835416666666664,63.69444444444444,23.074305555555544,22.629861111111108,,,,3.758333333333332,3.089583333333333,1166.7152777777778,0.0,0,0,0,1,0,0,0,0
2019-06-15,4.822222222222219,251.48611111111111,3.134722222222221,15.754861111111117,23.80694444444444,58.125,24.023611111111105,23.61111111111111,,,,4.134722222222223,3.4340277777777777,1165.75,0.0,0,0,0,1,0,0,0,0
2019-06-16,6.1666666666666705,252.40277777777777,4.050000000000001,12.200694444444437,25.556944444444447,47.84722222222222,25.7625,25.34375,,,,5.295833333333333,4.374999999999998,1182.6666666666667,0.0,0,0,0,1,0,0,0,0
2019-06-17,7.02777777777778,267.1041666666667,4.876388888888889,9.78541666666667,24.778472222222216,48.38194444444444,25.010416666666654,24.572222222222212,,,,6.0187500000000025,5.147916666666665,1165.798611111111,0.0,0,0,0,1,0,0,0,0
2019-06-18,6.492361111111112,265.2638888888889,4.550000000000001,11.21666666666667,23.995138888888885,60.166666666666664,24.1951388888889,23.78958333333335,,,,5.574305555555557,4.804166666666668,1164.5347222222222,0.0,0,0,0,1,0,0,0,0
2019-06-19,6.752777777777773,246.32638888888889,4.832638888888891,9.635416666666668,25.247916666666683,40.77777777777778,25.498611111111117,25.022916666666667,,,,5.9055555555555586,5.069444444444445,1182.1805555555557,0.0,0,0,0,1,0,0,0,0
