,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,West,South-West,East,North-West,North-East,North,South,South-East
2019-05-10,,,,,18.63541666666667,63.583333333333336,18.861111111111104,18.402777777777782,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-11,,,,,18.737499999999997,73.34722222222223,18.949999999999985,18.53680555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-12,,,,,20.842361111111106,77.94444444444444,21.052777777777774,20.61805555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-13,,,,,21.81250000000001,74.70138888888889,21.99930555555555,21.61666666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-14,,,,,22.60694444444444,67.91666666666667,22.81527777777777,22.398611111111116,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-15,,,,,22.93541666666667,71.49305555555556,23.12916666666666,22.72986111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-16,,,,,24.108333333333334,65.49305555555556,24.361111111111097,23.856944444444448,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-17,,,,,25.143055555555563,56.888888888888886,25.42777777777778,24.85694444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-18,,,,,21.860416666666666,68.71527777777777,22.09861111111111,21.627083333333342,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-19,,,,,21.418055555555558,76.51388888888889,21.629166666666656,21.191666666666674,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-20,,,,,22.54305555555554,81.70833333333333,22.71875000000001,22.365277777777774,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-21,,,,,23.481944444444448,73.75,23.71111111111112,23.252083333333335,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-22,,,,,25.709722222222204,57.625,25.95208333333334,25.463194444444454,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-23,,,,,29.89583333333333,31.041666666666668,30.15902777777778,29.619444444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-24,,,,,30.86736111111111,32.93055555555556,31.11944444444445,30.60069444444447,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-25,,,,,24.15902777777778,70.79861111111111,24.35,23.961805555555557,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-26,,,,,22.449305555555558,73.5625,22.66805555555554,22.222222222222214,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-27,,,,,23.25347222222222,76.99305555555556,23.4423611111111,23.052083333333336,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-28,,,,,24.46180555555555,79.96527777777777,24.62430555555556,24.31041666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-29,,,,,25.402083333333344,78.07638888888889,25.58055555555556,25.22569444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
