,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,South,West,North-East,East
2019-05-12,3.9180555555555525,169.27083333333334,2.0791666666666675,16.208333333333332,19.716666666666676,78.78472222222223,20.010416666666664,19.453472222222228,,,,2.9270833333333326,2.2583333333333337,1182.7708333333333,0.0,1,0,0,0,0,0,0,0
2019-05-13,3.5673611111111105,177.05555555555554,1.902083333333334,17.443749999999998,21.018749999999994,69.27777777777777,21.347222222222225,20.70416666666665,,,,2.659027777777777,2.0930555555555563,1182.736111111111,0.0,1,0,0,0,0,0,0,0
2019-05-14,3.341666666666665,183.3125,1.7506944444444446,19.761111111111106,20.998611111111106,71.78472222222223,21.280555555555555,20.72083333333334,,,,2.4770833333333337,1.9319444444444445,1183.0555555555557,0.0,0,0,1,0,0,0,0,0
2019-05-15,2.702777777777778,204.30555555555554,1.397222222222222,22.806250000000002,20.941666666666666,84.24305555555556,21.23263888888889,20.625694444444452,,,,2.0472222222222225,1.5472222222222218,1164.9791666666667,0.0,0,0,1,0,0,0,0,0
2019-05-16,2.9458333333333337,168.69444444444446,1.539583333333333,25.362500000000008,23.31875000000001,68.31944444444444,23.609722222222214,23.012500000000003,,,,2.2805555555555546,1.7277777777777783,1165.6944444444443,0.0,1,0,0,0,0,0,0,0
2019-05-17,4.363194444444443,203.09027777777777,2.6006944444444455,20.38958333333333,22.097916666666677,76.375,22.367361111111116,21.848611111111115,,,,3.4861111111111103,2.813888888888888,1181.4444444444443,0.0,0,0,1,0,0,0,0,0
2019-05-18,3.286805555555555,192.40277777777777,1.7402777777777774,18.386111111111113,21.255555555555553,64.58333333333333,21.531249999999996,20.989583333333336,,,,2.457638888888889,1.904166666666666,1166.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-05-19,3.7652777777777775,188.89583333333334,1.8479166666666669,20.697222222222223,20.146527777777788,83.26388888888889,20.420138888888886,19.845138888888897,,,,2.7173611111111104,2.031944444444444,1182.6875,0.0,0,0,1,0,0,0,0,0
2019-05-20,4.018750000000001,208.84722222222223,1.9576388888888892,21.358333333333345,20.987500000000004,88.32638888888889,21.263194444444448,20.716666666666665,,,,2.86388888888889,2.1472222222222226,1183.0208333333333,0.0,0,0,1,0,0,0,0,0
2019-05-21,3.1736111111111116,192.25694444444446,1.6499999999999995,22.319444444444443,21.768749999999997,82.08333333333333,22.063194444444438,21.49722222222221,,,,2.3611111111111103,1.8472222222222225,1182.548611111111,0.0,0,0,1,0,0,0,0,0
2019-05-22,2.8937500000000003,160.25694444444446,1.6361111111111113,17.226388888888895,23.818749999999987,64.70138888888889,24.131249999999998,23.512500000000006,,,,2.2208333333333328,1.7965277777777782,1181.9930555555557,0.0,1,0,0,0,0,0,0,0
2019-05-23,3.616666666666667,118.90972222222223,2.209722222222222,14.00902777777777,30.74305555555556,32.645833333333336,31.06805555555554,30.417361111111113,,,,2.8986111111111117,2.4138888888888883,1182.701388888889,0.0,1,0,0,0,0,0,0,0
2019-05-24,3.4506944444444456,199.00694444444446,2.0215277777777776,20.974305555555567,29.17291666666666,50.208333333333336,29.477777777777778,28.868749999999995,,,,2.733333333333332,2.2131944444444445,1165.173611111111,0.0,0,0,1,0,0,0,0,0
2019-05-25,4.112499999999999,275.0208333333333,2.063888888888889,21.14583333333333,23.53958333333332,87.39583333333333,23.76111111111112,23.325694444444448,,,,2.951388888888888,2.247916666666665,1180.9930555555557,0.0,0,1,0,0,0,0,0,0
2019-05-26,4.256249999999999,179.29861111111111,2.1958333333333337,19.672222222222217,21.676388888888894,82.70833333333333,21.93472222222222,21.4111111111111,,,,3.1388888888888897,2.4034722222222222,1182.9444444444443,0.0,1,0,0,0,0,0,0,0
2019-05-27,3.9527777777777757,201.27777777777777,2.028472222222222,18.824305555555547,21.368055555555557,86.47916666666667,21.627083333333324,21.113194444444442,,,,2.925694444444446,2.2048611111111103,1183.076388888889,0.0,0,0,1,0,0,0,0,0
2019-05-28,3.543055555555557,223.79166666666666,1.636805555555556,24.936111111111117,23.325000000000003,86.55555555555556,23.574305555555554,23.079166666666666,,,,2.457638888888889,1.7979166666666668,1166.1319444444443,0.0,0,0,1,0,0,0,0,0
2019-05-29,3.7750000000000004,242.85416666666666,1.9750000000000003,21.3423611111111,23.531249999999996,88.13888888888889,23.75208333333333,23.32430555555557,,,,2.7812499999999996,2.144444444444443,1165.576388888889,0.0,0,0,1,0,0,0,0,0
2019-05-30,3.5805555555555557,223.02083333333334,1.8055555555555551,21.96944444444445,24.74027777777778,81.11111111111111,24.985416666666666,24.48749999999999,,,,2.5916666666666663,1.9881944444444446,1182.4583333333333,0.0,0,0,1,0,0,0,0,0
2019-05-31,3.052777777777779,238.21527777777777,1.5194444444444444,25.53541666666666,25.174305555555552,86.02777777777777,25.41249999999999,24.915972222222226,,,,2.2131944444444445,1.6847222222222218,1182.138888888889,0.0,0,0,1,0,0,0,0,0
2019-06-01,3.102777777777778,221.45138888888889,1.536111111111111,21.915277777777767,24.28958333333334,87.63194444444444,24.568055555555556,24.024305555555546,,,,2.208333333333333,1.6715277777777773,1182.263888888889,0.0,0,0,1,0,0,0,0,0
2019-06-02,3.26056338028169,235.41549295774647,1.6239436619718306,23.052816901408455,24.355633802816907,88.73239436619718,24.602112676056343,24.092253521126764,,,,2.37112676056338,1.7908450704225352,1160.9718309859154,0.0,0,0,1,0,0,0,0,0
2019-06-03,3.8520833333333346,203.13888888888889,1.9583333333333333,20.711805555555554,24.968750000000014,84.11111111111111,25.20972222222224,24.72083333333333,,,,2.823611111111111,2.1326388888888888,1164.4166666666667,0.0,0,0,1,0,0,0,0,0
2019-06-04,4.384722222222221,199.72916666666666,2.2499999999999996,20.085416666666667,25.087499999999995,83.11805555555556,25.305555555555557,24.864583333333332,,,,3.1444444444444444,2.4416666666666664,1165.7152777777778,0.0,0,0,1,0,0,0,0,0
