,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,North,East,West,South-East,South,North-East
2019-04-28,4.259722222222222,184.66666666666666,2.949305555555556,15.053472222222224,25.36388888888888,26.48611111111111,25.574305555555558,25.1638888888889,,,,3.6784722222222226,3.1798611111111104,1182.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-04-29,3.8874999999999997,184.32638888888889,2.7715277777777767,17.025,27.36874999999999,21.96527777777778,27.585416666666664,27.15555555555555,,,,3.4347222222222213,3.0249999999999995,1181.861111111111,0.0,0,1,0,0,0,0,0,0
2019-04-30,4.147916666666669,171.36805555555554,2.7812500000000013,16.005555555555556,27.793055555555558,21.92361111111111,28.0375,27.572916666666657,,,,3.576388888888888,3.0750000000000006,1165.0694444444443,0.0,1,0,0,0,0,0,0,0
2019-05-01,4.172027972027974,175.94405594405595,2.8594405594405594,14.191608391608387,28.13706293706294,20.18881118881119,28.359440559440547,27.94475524475526,,,,3.680419580419582,3.139160839160839,1180.118881118881,0.0,1,0,0,0,0,0,0,0
2019-05-02,5.2402777777777745,207.65972222222223,3.3340277777777776,21.543749999999992,29.27569444444446,22.729166666666668,29.57291666666666,28.995833333333323,,,,4.595138888888886,3.840277777777777,1183.4375,0.0,0,1,0,0,0,0,0,0
2019-05-03,8.302083333333336,232.51388888888889,5.828472222222221,15.604166666666664,24.13611111111111,35.854166666666664,24.355555555555547,23.923611111111114,,,,7.20138888888889,6.307638888888888,1165.6805555555557,0.0,0,1,0,0,0,0,0,0
2019-05-04,4.402777777777777,143.81944444444446,2.749999999999999,17.16111111111111,21.22222222222223,48.22222222222222,21.461805555555557,21.001388888888883,,,,3.7333333333333325,3.0562499999999986,1182.8680555555557,0.0,1,0,0,0,0,0,0,0
2019-05-05,4.077083333333334,178.09027777777777,3.009027777777776,12.424305555555556,26.53402777777777,29.77777777777778,26.788194444444446,26.282638888888883,,,,3.657638888888889,3.2437499999999986,1181.8541666666667,0.0,0,1,0,0,0,0,0,0
2019-05-06,4.746853146853145,204.23776223776224,2.992307692307692,20.628671328671334,29.7881118881119,18.81118881118881,30.082517482517485,29.492307692307676,,,,4.134265734265731,3.44055944055944,1161.041958041958,0.0,0,1,0,0,0,0,0,0
2019-05-07,8.9125,252.47916666666666,6.498611111111111,15.731249999999996,22.900000000000006,43.798611111111114,23.098611111111115,22.713194444444447,,,,7.843750000000002,6.902083333333334,1166.513888888889,0.0,0,1,0,0,0,0,0,0
2019-05-08,6.625694444444445,228.95833333333334,4.786805555555552,12.265277777777774,20.263194444444444,46.90972222222222,20.50902777777778,20.038194444444443,,,,5.76736111111111,5.075694444444444,1165.6041666666667,0.0,0,1,0,0,0,0,0,0
2019-05-09,6.699999999999999,221.72661870503597,4.871942446043167,13.630935251798553,19.24388489208633,50.13669064748201,19.513669064748193,19.018705035971223,,,,5.91438848920863,5.18705035971223,1156.546762589928,0.0,0,1,0,0,0,0,0,0
2019-05-10,5.286111111111107,187.05555555555554,3.7618055555555574,13.632638888888884,19.66180555555555,47.43055555555556,19.902083333333337,19.452777777777783,,,,4.667361111111111,4.029166666666667,1181.638888888889,0.0,0,1,0,0,0,0,0,0
2019-05-11,4.073611111111111,167.86805555555554,2.8006944444444453,13.717361111111105,22.788194444444454,34.5,22.97777777777778,22.591666666666658,,,,3.515972222222224,3.011805555555556,1182.1458333333333,0.0,1,0,0,0,0,0,0,0
2019-05-12,4.184027777777776,194.70138888888889,2.8645833333333317,14.375694444444443,27.491666666666664,18.6875,27.72916666666667,27.270833333333346,,,,3.6298611111111105,3.1354166666666656,1181.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-05-13,4.554166666666666,194.15972222222223,3.2576388888888888,13.115277777777768,29.42916666666668,17.86111111111111,29.649305555555568,29.21944444444444,,,,3.995833333333333,3.5090277777777765,1166.076388888889,0.0,0,1,0,0,0,0,0,0
2019-05-14,5.049999999999999,202.40277777777777,3.629166666666668,13.26111111111112,30.958333333333353,14.590277777777779,31.179861111111116,30.745833333333344,,,,4.447222222222224,3.891666666666668,1165.5069444444443,0.0,0,1,0,0,0,0,0,0
2019-05-15,4.393749999999998,219.0625,3.1118055555555566,14.654861111111106,31.376388888888883,17.15277777777778,31.65486111111108,31.12083333333335,,,,3.8513888888888914,3.387500000000001,1167.6527777777778,0.0,0,1,0,0,0,0,0,0
2019-05-16,4.191666666666666,206.4375,2.9687500000000004,13.52708333333333,31.482638888888896,17.98611111111111,31.69999999999999,31.26458333333333,,,,3.698611111111112,3.2416666666666685,1181.1180555555557,0.0,0,1,0,0,0,0,0,0
