,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,West,North,East,North-East,South
2019-05-30,5.693749999999999,306.53472222222223,3.486111111111109,14.740277777777784,26.695833333333333,50.166666666666664,26.877777777777776,26.51874999999999,,,,4.443055555555555,3.7048611111111094,1182.5416666666667,0.0,0,1,0,0,0,0,0,0
2019-05-31,5.875000000000002,301.25694444444446,3.4215277777777775,17.257638888888888,25.75416666666667,52.798611111111114,25.917361111111113,25.59930555555555,,,,4.537500000000003,3.681944444444443,1165.673611111111,0.0,0,1,0,0,0,0,0,0
2019-06-01,5.5048611111111105,303.55555555555554,3.2124999999999986,16.521527777777777,25.31666666666667,51.986111111111114,25.490972222222226,25.1625,,,,4.295833333333334,3.4562500000000007,1182.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-06-02,5.168309859154928,303.2957746478873,2.9915492957746497,19.975352112676052,25.239436619718308,47.49295774647887,25.43098591549295,25.064788732394373,,,,4.063380281690144,3.259154929577466,1160.7535211267605,0.0,0,1,0,0,0,0,0,0
2019-06-03,4.779861111111111,264.59027777777777,2.7784722222222222,20.384027777777778,25.959027777777777,54.86805555555556,26.143750000000008,25.78402777777778,,,,3.7562499999999996,3.0187500000000007,1167.0347222222222,0.0,0,0,1,0,0,0,0,0
2019-06-04,5.825694444444442,249.77083333333334,3.443055555555556,18.133333333333333,26.711111111111112,43.65972222222222,26.906250000000004,26.518749999999994,,,,4.540277777777779,3.7062500000000003,1182.7430555555557,0.0,0,0,1,0,0,0,0,0
2019-06-05,5.386111111111109,260.375,3.192361111111112,18.063194444444445,27.103472222222223,37.52777777777778,27.305555555555546,26.922916666666666,,,,4.208333333333332,3.431249999999999,1182.375,0.0,0,0,1,0,0,0,0,0
2019-06-06,5.929166666666669,300.74305555555554,3.391666666666668,18.342361111111117,25.721527777777773,60.28472222222222,25.897916666666685,25.5625,,,,4.590972222222224,3.666666666666665,1181.4097222222222,0.0,0,1,0,0,0,0,0,0
2019-06-07,7.819444444444441,313.9791666666667,4.491666666666668,16.51944444444445,23.971527777777784,68.38888888888889,24.11527777777778,23.839583333333323,,,,5.882638888888887,4.763194444444444,1181.5972222222222,0.0,0,1,0,0,0,0,0,0
2019-06-08,6.017361111111111,301.0416666666667,3.568749999999999,16.72083333333334,22.331249999999997,68.52777777777777,22.45555555555556,22.210416666666678,,,,4.75347222222222,3.7861111111111097,1182.4166666666667,0.0,0,1,0,0,0,0,0,0
2019-06-09,4.1402777777777775,295.1875,2.4090277777777773,19.525694444444426,23.65208333333332,57.770833333333336,23.794444444444448,23.515972222222214,,,,3.3263888888888906,2.6298611111111114,1181.1597222222222,0.0,0,1,0,0,0,0,0,0
2019-06-10,4.954861111111111,205.3125,2.920138888888888,18.24444444444445,25.808333333333323,37.486111111111114,26.009722222222237,25.62222222222223,,,,4.077777777777777,3.2645833333333334,1180.7708333333333,0.0,0,0,1,0,0,0,0,0
2019-06-11,4.849305555555556,186.63888888888889,2.923611111111111,16.27222222222222,27.56111111111112,30.21527777777778,27.77013888888889,27.363888888888873,,,,3.986805555555555,3.2118055555555554,1181.5,0.0,0,0,1,0,0,0,0,0
2019-06-12,5.856944444444444,290.63194444444446,3.4312500000000004,17.191666666666656,24.47847222222223,64.0,24.656249999999986,24.33333333333333,,,,4.554166666666667,3.6631944444444438,1181.6527777777778,0.0,0,1,0,0,0,0,0,0
2019-06-13,4.895833333333334,290.2291666666667,2.7625000000000015,18.191666666666677,22.91180555555556,67.51388888888889,23.061111111111114,22.76666666666667,,,,3.826388888888889,3.0187500000000007,1183.2569444444443,0.0,0,1,0,0,0,0,0,0
2019-06-14,4.174305555555555,270.5208333333333,2.374305555555556,21.977083333333344,23.175694444444446,65.04861111111111,23.338888888888892,23.022222222222222,,,,3.3409722222222227,2.6423611111111103,1180.736111111111,0.0,0,0,1,0,0,0,0,0
2019-06-15,3.997222222222223,267.9791666666667,2.2284722222222206,22.177083333333343,24.552083333333332,56.270833333333336,24.704166666666666,24.395138888888898,,,,3.151388888888888,2.470833333333334,1164.388888888889,0.0,0,0,1,0,0,0,0,0
2019-06-16,5.209027777777779,207.11111111111111,3.1125000000000007,16.518749999999997,25.29236111111112,50.05555555555556,25.472916666666674,25.10625,,,,4.219444444444445,3.399305555555556,1165.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-06-17,5.4180555555555525,237.25694444444446,3.2722222222222217,15.131944444444438,24.99375000000002,52.72222222222222,25.15277777777777,24.834722222222226,,,,4.324999999999999,3.520138888888887,1182.201388888889,0.0,0,0,1,0,0,0,0,0
2019-06-18,4.562499999999999,264.72222222222223,2.7159722222222213,16.874305555555555,24.784027777777784,60.520833333333336,24.948611111111116,24.615277777777788,,,,3.6500000000000004,2.9402777777777787,1181.6180555555557,0.0,0,0,1,0,0,0,0,0
2019-06-19,4.8430555555555586,234.52777777777777,2.8729166666666655,17.069444444444454,25.141666666666666,43.770833333333336,25.32569444444444,24.96319444444445,,,,3.957638888888891,3.134027777777778,1182.451388888889,0.0,0,0,1,0,0,0,0,0
